Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
iion Pty Ltd,Colombia,real stories with christ - season three,4716160,,,,,,,serie,titulo,real stories with christ,,
OTTera.tv,Colombia,andor: season 2 - official 'win' teaser trailer,1839520,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
iion Pty Ltd,Argentina,overwatch 2 - official season 16: stadium trailer,1198880,,,,,,,serie,titulo,overwatch 2 - official,16,
iion Pty Ltd,Mexico,the story of bookworm gogo season 1,1025280,tt32752622,tvSeries,Animation,C,,,serie,titulo,the story of bookworm gogo,1,
OTTera.tv,Argentina,count hidden objects: season 12,867680,,,,,,,serie,titulo,count hidden objects,12,
iion Pty Ltd,Argentina,forest frenzy of boonie bears season 4,855120,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
iion Pty Ltd,Argentina,babybus canciones infantiles - temporada 1,756240,,,,,,,serie,titulo,babybus canciones infantiles,1,
iion Pty Ltd,Mexico,the story of bookworm gogo season 1,645280,tt32752622,tvSeries,Animation,C,,,serie,titulo,the story of bookworm gogo,1,
TCL ADS - Springserve,Mexico,real stories with christ - season three,611520,,,,,,,serie,titulo,real stories with christ,,
PML Digital,Chile,chai chai season 1,602880,tt6443382,tvSeries,Animation,C,,,serie,titulo,chai chai,1,
OTTera.tv,Mexico,domi kids play & learn (english) season 1,500640,,,,,,,serie,titulo,domi kids play & learn (english),1,
OTTera.tv,Mexico,lily's lovely song season 1,499040,,,,,,,serie,titulo,lily's lovely song,1,
TCL ADS - Springserve,Argentina,forest frenzy of boonie bears season 3,437440,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
Select Plus PTE LTD (CTV),Mexico,andor: season 2 - official 'win' teaser trailer,385120,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
PML Digital,Argentina,spy penguin season 1,339680,tt11328836,tvMiniSeries,Animation,C,,,serie,titulo,spy penguin,1,
Select Plus PTE LTD (CTV),Mexico,watchcar season 1,309120,,,,,,,serie,titulo,watchcar,1,
TCL ADs (APAC),Mexico,om nom  season 1,273920,tt4643420,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,om nom,1,
TCL ADS - Springserve,Mexico,e1. papua new guinea,259040,,,,,,,serie,titulo,papua new guinea,,1
TCL ADS - Springserve,Mexico,the supers season 2,248800,tt7493770,movie,"Action,Adventure,Comedy",B,,,serie,titulo,the supers,2,
NubaTV - SpringServe,Colombia,forest frenzy of boonie bears season 4,242560,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Argentina,forest frenzy of boonie bears season 3,211520,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
OTTera.tv,Chile,andor: season 2 - official stealing the tie fighter clip,210080,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
TCL ADS - Springserve,Mexico,guilt,204800,tt9644058,tvSeries,"Comedy,Crime,Drama",B,,VOD,serie,imdb,guilt,,
OTTera.tv,Argentina,invent'tom season 1,180480,,,,,,,serie,titulo,invent'tom,1,
OTTera.tv,Peru,kong kong land season 1,169440,tt21931976,tvSeries,Animation,C,,,serie,titulo,kong kong land,1,
