Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Select Plus PTE LTD (CTV),Colombia,wild assault - official early access narrative trailer,Not Applicable,,,,,,,,,,no_comparable,,533760,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Peru,mandragora: whispers of the witch tree - official launch trailer,Not Applicable,,,,,,,,,,no_comparable,,531840,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Colombia,behind closed doors,Drama,[IAB1-5],Movies,externa,coincide,,tt18292144,movie,"Drama,Thriller",B,coincide,,531040,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Mexico,the legend of baboo - official trailer   galaxies gaming showcase 2025,Not Applicable,[IAB1-5],Movies,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,531040,,,,2,2,ninguna,declarado
OTTera.tv,Mexico,barry's animal hospital season 1,Adventure,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,519520,[640],Television,[IAB1-7],1,2,interna,titulo
iion Pty Ltd,Argentina,big sister’s code,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,517680,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Argentina,first impression,Drama,[IAB1-5],Movies,externa,compatible,generico,tt9203202,tvMovie,Comedy,B,no_coincide,,512160,[330],Movies > Comedy Movies,[IAB1-5],2,3,externa,declarado
iion Pty Ltd,Argentina,hunting grounds - official trailer,Not Applicable,,,,,,,,,,no_comparable,,509120,,,[IAB1],0,0,ninguna,
TCL ADS - Springserve,Honduras,agenda: payback: trailer,Action,[IAB1-5],Movies,externa,coincide,,tt4788744,movie,Thriller,A,no_coincide,,508960,[331],Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,the waterfall of colors,Animation,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,504160,"[329, 641]",Movies > Animation Movies | Television > Animation TV,[IAB1],1,2,interna,
TCL ADs (APAC),Colombia,redville: trailer,Drama,[IAB1-5],Movies,externa,coincide,,tt15262920,movie,Drama,B,coincide,,502560,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Colombia,41,Sci-Fi,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,497600,"[327, 652]",Movies > Science Fiction Movies | Television > Science Fiction TV,[IAB1],1,2,interna,
iion Pty Ltd,Peru,if you think you're lonely now,Thriller,[IAB1-5],Movies,externa,coincide,,tt21277054,movie,"Crime,Thriller",A,coincide,,495520,[331],Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Colombia,anthony,Not Applicable,[IAB1-5],Movies,externa,compatible,generico,tt3197500,short,"Comedy,Drama,Fantasy",B,sin_genero_declarado,,495200,"[330, 333, 335]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Fantasy Movies,[IAB1-5],2,3,externa,declarado
TCL ADs (APAC),Peru,cicatrices serbias,Action,[IAB1-5],Movies,externa,coincide,,tt0892392,movie,"Action,Drama,Thriller",A,coincide,,488960,"[325, 333, 331]",Movies > Action and Adventure Movies | Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
TCL ADS - Springserve,Argentina,darling. darling. wendy,Drama,[IAB1-5],Movies,externa,compatible,generico,tt7345932,short,"Drama,Fantasy,Short",A,coincide,,484960,"[333, 335]",Movies > Drama Movies | Movies > Fantasy Movies,[IAB1-5],2,3,externa,declarado
OTTera.tv,Argentina,waking up,Entertainment,[IAB1-5],Movies,externa,compatible,generico,tt4460186,short,"Music,Short",B,sin_genero_declarado,,479760,,,,2,2,externa,declarado
TCL ADs (APAC),Colombia,unbeatable - official overview trailer   galaxies gaming showcase 2025,Not Applicable,,,,,,,,,,no_comparable,,479200,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Mexico,faith%2c%20hope%20%26%20love,Not Applicable,[IAB1-5],Movies,externa,coincide,,tt8310924,movie,"Comedy,Romance",B,sin_genero_declarado,,478240,"[330, 326]",Movies > Comedy Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Colombia,sayonara speed tribes: the bosozoku movie,Not Applicable,,,,,,,,,,no_comparable,,477440,,,[IAB1],0,0,ninguna,
Vidaa,Mexico,gata salvaje,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0327759,tvSeries,"Drama,Romance",A,coincide,vertical,473200,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
TCL ADS - Springserve,Mexico,boxing spotlight,Sports,[IAB17],Sports,interna,coincide,,,,,,no_comparable,,471680,[485],Sports > Boxing,[IAB17-5],1,2,interna,
TCL ADS - Springserve,Mexico,an affable devil (alex macqueen and cordelia levinson),Not Applicable,,,,,,,,,,no_comparable,,468800,,,[IAB1],0,0,ninguna,
Select Plus PTE LTD (CTV),Colombia,mount lawrence: trailer,Documentary,[IAB1-5],Movies,externa,coincide,,tt3328056,movie,"Adventure,Biography,Documentary",A,coincide,,461280,"[325, 332, 333]",Movies > Action and Adventure Movies | Movies > Documentary Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
Select Plus PTE LTD (CTV),Chile,7th commandment,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,461280,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Argentina,om nom,Not Applicable,,,,,,tt4643420,tvSeries,"Action,Adventure,Animation",C,no_comparable,,457120,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Argentina,the harbortown bobber_trailer,Documentary,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,452960,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],1,2,interna,
Xapads Media - CTV,Chile,main prem ki diwani hoon,Romance,[IAB1-5],Movies,externa,coincide,,tt0265148,movie,"Comedy,Drama,Musical",A,coincide,,452640,"[330, 333, 326]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Ecuador,the adventures of paula peril: trailer,Action,[IAB1-5],Movies,externa,coincide,,tt3916634,movie,"Action,Adventure,Mystery",A,coincide,,452320,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Mexico,martin luther king and the fbi – a marked man (mlk),Documentary,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,446560,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],1,2,interna,
Select Plus PTE LTD (CTV),Argentina,dead of knight,Horror,[IAB1-5],Movies,externa,coincide,,tt1367177,movie,"Adventure,Family,Fantasy",B,no_coincide,,440000,"[325, 334, 335]",Movies > Action and Adventure Movies | Movies > Family and Children Movies | Movies > Fantasy Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Chile,diamondz r 4eva,Thriller,[IAB1],Arts & Entertainment,interna,compatible,generico,tt27641805,movie,Crime,C,no_comparable,,437120,[331],Movies > Crime and Mystery Movies,[IAB1],1,2,interna,
iion Pty Ltd,Mexico,still human: trailer,Documentary,[IAB1-5],Movies,externa,coincide,,tt11584270,movie,Documentary,B,coincide,,436480,[332],Movies > Documentary Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Argentina,jory,Western,[IAB1-5],Movies,externa,coincide,,tt0068773,movie,"Drama,Western",B,coincide,,428640,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
Televisa Univision via SpringServe,Argentina,fuego ardiente,Drama,[IAB1-5],Movies,externa,coincide,,tt0123518,movie,"Adult,Crime,Drama",B,coincide,,426720,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,deadly crush,Horror,[IAB1-5],Movies,externa,coincide,,tt7580598,movie,"Action,Romance,Thriller",B,no_coincide,,425600,"[325, 326, 331]",Movies > Action and Adventure Movies | Movies > Romance Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Colombia,grow house,Comedy,[IAB1-5],Movies,externa,coincide,,tt4274656,movie,Comedy,A,coincide,,423360,[330],Movies > Comedy Movies,[IAB1-5],2,3,externa,imdb
TCL ADS - Springserve,Dominican Republic,ride lonesome,Western,[IAB1-5],Movies,externa,coincide,,tt0053220,movie,Western,A,coincide,,420720,,,,2,2,externa,imdb
TCL ADS - Springserve,Argentina,la colonia perdida,Fantasy,[IAB1-5],Movies,externa,compatible,generico,tt0875696,tvMovie,"Fantasy,Horror,Mystery",A,coincide,,419520,"[335, 336, 331]",Movies > Fantasy Movies | Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,declarado
PML Digital,Colombia,calber island,Thriller,[sports],sports,externa,contradice,vertical:deportes,tt7720214,movie,Drama,A,no_coincide,vertical,419520,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
Select Plus PTE LTD (CTV),Argentina,moving target: trailer,Crime,[IAB1-5],Movies,externa,coincide,,tt0074483,movie,"Action,Crime,Thriller",B,coincide,,417760,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
Roku - oRTB,Mexico,epg,Sci-Fi,"[IAB1-5, IAB1-7]",Movies | Television,interna,compatible,forma_ambigua,,,,,no_comparable,,414560,,,,2,2,interna,
Select Plus PTE LTD (CTV),Mexico,blue lips_trailer,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,413760,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
