Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Select Plus PTE LTD (CTV),Colombia,the blue bird,Adventure,[-7],,,,,tt0032264,movie,"Adventure,Family,Fantasy",B,coincide,,740000,"[325, 334, 335]",Movies > Action and Adventure Movies | Movies > Family and Children Movies | Movies > Fantasy Movies,[IAB1-5],0,3,externa,imdb
TCL ADS - Springserve,Chile,the seed,Drama,[-7],,,,,tt13892494,movie,"Drama,Thriller",B,coincide,,736160,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
Select Plus PTE LTD (CTV),Colombia,random encounters,Comedy,[-7],,,,,tt1586525,movie,"Comedy,Romance",B,coincide,,729920,"[330, 326]",Movies > Comedy Movies | Movies > Romance Movies,[IAB1-5],0,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,Not Applicable,Horror,[-7],,,,,,,,,no_comparable,,716000,[336],Movies > Horror Movies,[IAB1],0,2,interna,
Select Plus PTE LTD (CTV),Mexico,arthur%20rambo,Drama,[-7],,,,,tt10951972,movie,Drama,B,coincide,,676160,[333],Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
TCL ADS - Springserve,Argentina,herschell gordon lewis' bloodmania_trailer,Horror,[-7],,,,,,,,,no_comparable,,674880,[336],Movies > Horror Movies,[IAB1],0,2,interna,
iion Pty Ltd,Mexico,displaced%20,Not Applicable,[-7],,,,,tt14717664,short,"Drama,Short",B,sin_genero_declarado,,664000,"[333, 647, 332, 648]",Movies > Drama Movies | Television > Drama TV | Movies > Documentary Movies | Television > Factual TV,[IAB1],0,2,externa,
OTTera.tv,Peru,jada,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt9769714,movie,"Drama,Sport",B,coincide,,656320,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
OTTera.tv,Mexico,lovemakers%3a%20trailer,Not Applicable,[-7],,,,,tt2015478,movie,"Comedy,Romance",A,sin_genero_declarado,,654560,"[330, 326]",Movies > Comedy Movies | Movies > Romance Movies,[IAB1-5],0,3,externa,imdb
OTTera.tv,Colombia,5 souls_trailer,Horror,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,649120,[336],Movies > Horror Movies,[IAB1],1,2,interna,
