Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
iion Pty Ltd,Argentina,gunnie season,80960,,,,,,,serie,titulo,gunnie season,,
Select Plus PTE LTD (CTV),El Salvador,forest frenzy of boonie bears season 4,76160,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
TCL ADS - Springserve,Chile,animacars season 1,75040,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,1,
TCL ADS - Springserve,Chile,construction squad season 1,74240,,,,,,,serie,titulo,construction squad,1,
TCL ADs (APAC),Argentina,uma & devan namaste season 1,74160,tt11730496,tvSeries,Animation,C,,,serie,titulo,uma & devan namaste,1,
iion Pty Ltd,Mexico,hey! pikmin season 1,73440,,,,,,,serie,titulo,hey! pikmin,1,
TCL ADS - Springserve,Chile,animacars season 2,73280,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
OTTera.tv,Chile,e8. the astronauts,73120,tt11947264,tvSeries,"Action,Adventure,Drama",D,,,serie,titulo,the astronauts,,8
OTTera.tv,Dominican Republic,forest frenzy of boonie bears season 3,72960,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
TCL ADs (APAC),Mexico,e7. exo planets,71680,,,,,,,serie,titulo,exo planets,,7
TCL ADS - Springserve,Argentina,pilotos del ártico (ice pilots): temporada 3,69600,,,,,,,serie,titulo,pilotos del ártico (ice pilots),3,
Select Plus PTE LTD (CTV),Peru,forest frenzy of boonie bears season 4,68480,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
Select Plus PTE LTD (CTV),Mexico,the sandman: season 2 - official date announcement teaser trailer,67360,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,,serie,titulo,the sandman,2,
TCL ADs (APAC),Argentina,lucky fred season 1,67040,tt2164295,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,lucky fred,1,
iion Pty Ltd,Argentina,three rabbits season 1,66080,tt4505176,short,"Short,Western",C,,,serie,titulo,three rabbits,1,
PML Digital,Chile,e1. a 'wild' mission,65760,,,,,,,serie,titulo,a 'wild' mission,,1
OTTera.tv,Venezuela,forest frenzy of boonie bears season 3,64480,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
PML Digital,Argentina,construction squad season 1,64320,,,,,,,serie,titulo,construction squad,1,
TCL ADs (APAC),Argentina,los nuevos detectives temporada 9,64320,,,,,,,serie,titulo,los nuevos detectives,9,
OTTera.tv,Argentina,om nom  season 1,63680,tt4643420,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,om nom,1,
iion Pty Ltd,Mexico,e1. papua new guinea,63360,,,,,,,serie,titulo,papua new guinea,,1
OTTera.tv,Colombia,shark academy nursery rhymes season 1,63360,,,,,,,serie,titulo,shark academy nursery rhymes,1,
PML Digital,Chile,tom's garage season 1,63200,tt0105617,movie,,C,,,serie,titulo,tom's garage,1,
OTTera.tv,Panama,mario + rabbids sparks of hope season 1,62720,,,,,,,serie,titulo,mario + rabbids sparks of hope,1,
Select Plus PTE LTD (CTV),Mexico,andor: season 2 - official 'win' teaser trailer,61760,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
TCL ADS - Springserve,Argentina,e3. next stop mars,60480,,,,,,,serie,titulo,next stop mars,,3
OTTera.tv,Dominican Republic,kong kong land season 1,59360,tt21931976,tvSeries,Animation,C,,,serie,titulo,kong kong land,1,
OTTera.tv,Argentina,kids planet season 2,59280,,,,,,,serie,titulo,kids planet,2,
iion Pty Ltd,Chile,rob the ranger: season 2,56800,,,,,,,serie,titulo,rob the ranger,2,
OTTera.tv,Chile,bonitos cubinhos - pbt season 1,56000,,,,,,,serie,titulo,bonitos cubinhos - pbt,1,
Select Plus PTE LTD (CTV),Colombia,crea'tim season 1,54240,,,,,,,serie,titulo,crea'tim,1,
Select Plus PTE LTD (CTV),Mexico,e9. lake superior,53760,,,,,,,serie,titulo,lake superior,,9
iion Pty Ltd,Chile,e4. peru,53120,tt7293250,short,"Comedy,Short",D,,,serie,titulo,peru,,4
TCL ADS - Springserve,Argentina,elina and the enchanted forest season 1,52960,,,,,,,serie,titulo,elina and the enchanted forest,1,
iion Pty Ltd,Mexico,chicken stew season 1,52800,tt3356808,tvSeries,"Action,Animation,Comedy",A,,VOD,serie,titulo,chicken stew,1,
iion Pty Ltd,Chile,forest frenzy of boonie bears season 1,52320,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
TCL ADS - Springserve,Argentina,temporada de brujas,52320,tt0479997,movie,"Action,Adventure,Fantasy",A,"crimen-misterio,drama",,serie,titulo,temporada de brujas,,
TCL ADs (APAC),Chile,real stories with christ - season three,52080,,,,,,,serie,titulo,real stories with christ,,
OTTera.tv,Peru,purple devil season 1,51680,,,,,,,serie,titulo,purple devil,1,
TCL ADS - Springserve,Dominican Republic,baby trucks season 1,51600,,,,,,,serie,titulo,baby trucks,1,
Select Plus PTE LTD (CTV),Mexico,animacars season 2,50720,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
iion Pty Ltd,Peru,the wawies season 1,50080,tt35661072,tvSeries,Animation,C,,,serie,titulo,the wawies,1,
OTTera.tv,Colombia,robofuse season 1,49920,,,,,,,serie,titulo,robofuse,1,
Select Plus PTE LTD (CTV),Venezuela,howzzattt- cricket miracles season 1,49600,,,,,,,serie,titulo,howzzattt- cricket miracles,1,
iion Pty Ltd,Mexico,super car (english) season 1,48800,,,,,,,serie,titulo,super car (english),1,
OTTera.tv,Peru,los archivos del fbi temporada 5,48240,,,,,,,serie,titulo,los archivos del fbi,5,
iion Pty Ltd,Colombia,ebb and flo season 1,48000,tt12767268,tvSeries,"Animation,Family",D,,,serie,titulo,ebb and flo,1,
OTTera.tv,Colombia,find the hidden object: season 7,48000,,,,,,,serie,titulo,find the hidden object,7,
OTTera.tv,Argentina,forest frenzy of boonie bears season 2,46400,,,,,,,serie,titulo,forest frenzy of boonie bears,2,
OTTera.tv,Costa Rica,shark academy nursery rhymes season 2,46240,,,,,,,serie,titulo,shark academy nursery rhymes,2,
iion Pty Ltd,Argentina,e9. orbit,46080,tt11482086,short,"Biography,Short",B,,,serie,titulo,orbit,,9
Select Plus PTE LTD (CTV),Argentina,troy the train season 1,46080,,,,,,,serie,titulo,troy the train,1,
Select Plus PTE LTD (CTV),Uruguay,howzzattt- cricket miracles season 1,45920,,,,,,,serie,titulo,howzzattt- cricket miracles,1,
OTTera.tv,Peru,troy the train season 2,45760,,,,,,,serie,titulo,troy the train,2,
OTTera.tv,Costa Rica,e3. somalia: battle in the sea,45440,,,,,,,serie,titulo,somalia: battle in the sea,,3
METAX SOFTWARE PTE. LTD. (Exchange),Colombia,forest frenzy of boonie bears season 1,45280,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
OTTera.tv,Argentina,howzzattt- cricket miracles season 1,45280,,,,,,,serie,titulo,howzzattt- cricket miracles,1,
iion Pty Ltd,Argentina,evidencias del crimen: temporada 4,45280,,,,,,,serie,titulo,evidencias del crimen,4,
TCL ADS - Springserve,Chile,e1. a 'wild' mission,44640,,,,,,,serie,titulo,a 'wild' mission,,1
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,overwatch 2 - official season 16: stadium trailer,44000,,,,,,,serie,titulo,overwatch 2 - official,16,
