Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,atrevete a sonar,39259840,tt1364356,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,atrevete a sonar,,
Vidaa  APAC Hisense Headquarter,Mexico,la rosa de guadalupe,22205360,tt1192302,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,la rosa de guadalupe,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,como dice el dicho,13831200,tt1831897,tvSeries,"Comedy,Drama",A,telenovela,Not Available,serie,imdb,como dice el dicho,,
iion Pty Ltd,Argentina,bubba's world,12367520,tt1572209,tvSeries,Reality-TV,B,,Not Available,serie,imdb,bubba's world,,
Vidaa,Mexico,soy tu duena,10633360,tt1630269,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,soy tu duena,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,el privilegio de amar,10448480,tt0211849,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,el privilegio de amar,,
iion Pty Ltd,Mexico,american hidden story season 2,8769280,,,,,,Not Available,serie,titulo,american hidden story,2,
iion Pty Ltd,Argentina,fish the dish,7515840,tt6408230,tvSeries,Reality-TV,A,,Not Available,serie,imdb,fish the dish,,
Vidaa,Mexico,lo que la vida me robo,7241440,tt3223004,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,lo que la vida me robo,,
Vidaa,Mexico,la vecina,7105200,tt4696338,tvSeries,"Comedy,Drama,Romance",A,telenovela,Not Available,serie,imdb,la vecina,,
Vidaa,Argentina,pequeños gigantes,5008000,tt1945875,tvSeries,"Family,Music,Reality-TV",B,,Not Available,serie,imdb,pequeños gigantes,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,cabo,4943200,tt21239248,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,cabo,,
