Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre_relleno,gen_declarados,gen_detalle,gen_propuesta
TCL ADS - Springserve,Argentina,formentera,96577200,tt1990232,movie,Drama,A,,Documentary,documental,documental!=drama,drama
OTTera.tv,Argentina,a royal christmas on ice,40541280,tt19408396,tvMovie,"Comedy,Drama,Romance",A,,Documentary,documental,"documental!=comedia,drama,romance","comedia,drama,romance"
OTTera.tv,Argentina,the secret handshake,36836400,tt3519936,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,penance lane,35222560,tt1964995,movie,Horror,A,,Drama,drama,drama!=terror,terror
OTTera.tv,Mexico,rollers: trailer,35112480,tt9124868,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
iion Pty Ltd,Colombia,dino the dinosaur season 1,33881040,tt7818384,tvSeries,"Animation,Family",A,,Adventure,aventura,"accion-aventura!=animacion,infantil-familia","animacion,infantil-familia"
OTTera.tv,Mexico,tennis+,25847360,tt2281489,short,"Comedy,Drama,Sci-Fi",B,,Sports,deportes,"deportes!=comedia,drama,sci-fi","comedia,drama,sci-fi"
OTTera.tv,Peru,crack,22110720,tt4424356,short,"Comedy,Crime,Drama",B,,Documentary,documental,"documental!=comedia,crimen-misterio,drama","comedia,crimen,drama"
TCL ADS - Springserve,Argentina,machotaildrop,15272640,tt1315388,movie,"Action,Comedy,Fantasy",A,,Sports,deportes,"deportes!=accion-aventura,comedia,fantasia","accion,comedia,fantasia"
OTTera.tv,Mexico,lost in the maze,13520320,tt29602142,movie,Documentary,A,,Adventure,aventura,accion-aventura!=documental,documental
OTTera.tv,Mexico,the buddy cop,13436640,tt20412912,movie,Comedy,A,,Action,accion,accion-aventura!=comedia,comedia
"Coocaa, a SKYWORTH company",Argentina,beat monday,10454400,tt13584880,tvMiniSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
"Coocaa, a SKYWORTH company",Argentina,for my man,10425600,tt4864850,tvSeries,Crime,B,,Documentary,documental,documental!=crimen-misterio,crimen
"Coocaa, a SKYWORTH company",Argentina,the breakfast club,10401280,tt0088847,movie,"Comedy,Drama",B,infantil-familia,Reality,reality,"reality!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
"Coocaa, a SKYWORTH company",Argentina,adam jones,10397600,tt2503944,movie,"Comedy,Drama",A,,Sports,deportes,"deportes!=comedia,drama","comedia,drama"
LG Ads EMEA - SS,Mexico,entertainment,6038560,tt8005846,short,"Drama,Musical,Short",B,,Local News,noticias,"noticias!=drama,musica","drama,musica"
"Coocaa, a SKYWORTH company",Argentina,meet the drapers season 8. episode 1,5854400,tt8300760,tvSeries,Reality-TV,A,,News,noticias,noticias!=reality,reality
"Coocaa, a SKYWORTH company",Argentina,shifting gears,5755040,tt31614348,tvSeries,Comedy,B,,Sports,deportes,deportes!=comedia,comedia
OTTera.tv,Colombia,we three kings,5033600,tt13091334,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,stray,5001760,tt11905922,movie,Documentary,B,,Drama,drama,drama!=documental,documental
OTTera.tv,Mexico,grumpy grannies,4977280,tt19306948,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,displaced,4973760,tt14717664,short,"Drama,Short",B,documental,Family,infantil-familia,"infantil-familia!=documental,drama","drama,documental"
OTTera.tv,Mexico,friends only,4944480,tt15680876,movie,"Drama,Romance",A,,Family,infantil-familia,"infantil-familia!=drama,romance","drama,romance"
OTTera.tv,Mexico,7 years,4916640,tt5517438,movie,Drama,B,,Horror,terror,terror!=drama,drama
OTTera.tv,Mexico,amityville: it's about time: trailer,4400160,tt0103678,video,Horror,A,,Action,accion,accion-aventura!=terror,terror
OTTera.tv,Mexico,sin's kitchen: trailer,4399040,tt0203912,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
OTTera.tv,Mexico,countryside,4327200,tt26933627,movie,Drama,B,,Horror,terror,terror!=drama,drama
