Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
iion Pty Ltd,Argentina,super abby season 1,6447600,,,,,,,serie,titulo,super abby,1,
OTTera.tv,Peru,american hidden story season 1,4248960,,,,,,,serie,titulo,american hidden story,1,
OTTera.tv,Mexico,forest frenzy of boonie bears season 3,1687040,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
OTTera.tv,Mexico,forest frenzy of boonie bears season 4,880800,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
Select Plus PTE LTD (CTV),Mexico,season of the witch,833120,tt0070379,movie,"Crime,Drama,Thriller",B,romance,,serie,titulo,season of the witch,,
TCL ADs (APAC),Argentina,real stories with christ - season three,687520,,,,,,,serie,titulo,real stories with christ,,
iion Pty Ltd,Colombia,andor: season 2 - official stealing the tie fighter clip,677440,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
OTTera.tv,Colombia,rob the ranger: season 1,590640,,,,,,,serie,titulo,rob the ranger,1,
TCL ADS - Springserve,Argentina,pilotos del ártico (ice pilots): temporada 3,515040,,,,,,,serie,titulo,pilotos del ártico (ice pilots),3,
iion Pty Ltd,Mexico,three rabbits season 1,490720,tt4505176,short,"Short,Western",C,,,serie,titulo,three rabbits,1,
iion Pty Ltd,Mexico,e2. tanzania,364480,,,,,,,serie,titulo,tanzania,,2
iion Pty Ltd,Mexico,e7. exo planets,362080,,,,,,,serie,titulo,exo planets,,7
iion Pty Ltd,Mexico,the supers season 1,330720,tt7493770,movie,"Action,Adventure,Comedy",B,,,serie,titulo,the supers,1,
TCL ADS - Springserve,Mexico,thrillbillies,298240,tt1500999,tvSeries,Sport,B,,VOD,serie,imdb,thrillbillies,,
iion Pty Ltd,Mexico,e1. a rockstar's first flight,256320,,,,,,,serie,titulo,a rockstar's first flight,,1
METAX SOFTWARE PTE. LTD. (Exchange),Peru,los archivos del fbi temporada 2,236320,,,,,,,serie,titulo,los archivos del fbi,2,
iion Pty Ltd,Mexico,e9. lake superior,234560,,,,,,,serie,titulo,lake superior,,9
TCL ADS - Springserve,Mexico,kong kong land season 1,210240,tt21931976,tvSeries,Animation,C,,,serie,titulo,kong kong land,1,
iion Pty Ltd,Colombia,learning with animacars season 1,196000,,,,,,,serie,titulo,learning with animacars,1,
TCL ADS - Springserve,Mexico,e2:  path of no return,185760,tt31797283,short,"Drama,Short",C,,,serie,titulo,path of no return,,2
TCL ADs (APAC),Peru,animacars season 2,160480,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
OTTera.tv,Argentina,minituns - en season 1,153280,,,,,,,serie,titulo,minituns - en,1,
iion Pty Ltd,Mexico,vitaminix season 1,144320,tt6469326,tvSeries,"Animation,Documentary,Family",C,,,serie,titulo,vitaminix,1,
iion Pty Ltd,Argentina,forest frenzy of boonie bears season 4,142080,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
TCL ADs (APAC),Chile,forest frenzy of boonie bears season 3,134880,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
OTTera.tv,Argentina,find the hidden object: season 5,128160,,,,,,,serie,titulo,find the hidden object,5,
Select Plus PTE LTD (CTV),Mexico,zovizoo season 1,118400,,,,,,,serie,titulo,zovizoo,1,
iion Pty Ltd,Mexico,htdt season 1,116800,tt10375732,tvSeries,,C,,,serie,titulo,htdt,1,
OTTera.tv,Colombia,animacars season 2,114720,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
iion Pty Ltd,Mexico,future chicken - music videos season 1,114400,,,,,,,serie,titulo,future chicken - music videos,1,
TCL ADS - Springserve,Mexico,lily's lovely song season 1,113440,,,,,,,serie,titulo,lily's lovely song,1,
TCL ADS - Springserve,Argentina,los archivos del fbi temporada 5,112080,,,,,,,serie,titulo,los archivos del fbi,5,
iion Pty Ltd,Colombia,overwatch 2 - official season 16: stadium trailer,108000,,,,,,,serie,titulo,overwatch 2 - official,16,
TCL ADs (APAC),Mexico,hey! pikmin season 1,97120,,,,,,,serie,titulo,hey! pikmin,1,
iion Pty Ltd,Colombia,animacars season 2,94880,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
Select Plus PTE LTD (CTV),Colombia,gunnie season,93600,,,,,,,serie,titulo,gunnie season,,
TCL ADs (APAC),Mexico,chicken stew season 1,93600,tt3356808,tvSeries,"Action,Animation,Comedy",A,,VOD,serie,titulo,chicken stew,1,
OTTera.tv,Mexico,bbc news,92480,tt0240256,tvSeries,News,B,,VOD,serie,imdb,bbc news,,
Select Plus PTE LTD (CTV),Argentina,vitaminix season 1,90720,tt6469326,tvSeries,"Animation,Documentary,Family",C,,,serie,titulo,vitaminix,1,
TCL ADS - Springserve,Argentina,count hidden objects: season 13,90480,,,,,,,serie,titulo,count hidden objects,13,
PML Digital,Chile,pikmin 3 deluxe season 1,88800,,,,,,,serie,titulo,pikmin 3 deluxe,1,
OTTera.tv,Mexico,e4.%20peru,88160,tt7293250,short,"Comedy,Short",D,,,serie,titulo,%20peru,,4
TCL ADs (APAC),Ecuador,rob the ranger: season 1,84960,,,,,,,serie,titulo,rob the ranger,1,
TCL ADS - Springserve,Argentina,eggroy season 1,83840,,,,,,,serie,titulo,eggroy,1,
iion Pty Ltd,Argentina,shark academy stories season 1,81600,,,,,,,serie,titulo,shark academy stories,1,
iion Pty Ltd,Mexico,e1.%20the%20menu%20of%20crime,78880,,,,,,,serie,titulo,%20the%20menu%20of%20crime,,1
OTTera.tv,Chile,saari season 1,77120,tt0080934,movie,"Action,Adventure,Drama",D,,,serie,titulo,saari,1,
iion Pty Ltd,Chile,e8. the astronauts,75040,tt11947264,tvSeries,"Action,Adventure,Drama",D,,,serie,titulo,the astronauts,,8
iion Pty Ltd,Argentina,forest frenzy of boonie bears season 4,74880,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Uruguay,e3. boondocking. going off the grid,71840,,,,,,,serie,titulo,boondocking. going off the grid,,3
OTTera.tv,Colombia,forest frenzy of boonie bears season 3,71680,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
OTTera.tv,Mexico,e7. exo planets,71360,,,,,,,serie,titulo,exo planets,,7
TCL ADs (APAC),Mexico,e2. breaking a new ground,70720,,,,,,,serie,titulo,breaking a new ground,,2
iion Pty Ltd,Mexico,the sandman: season 2 - official date announcement teaser trailer,70080,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,,serie,titulo,the sandman,2,
TCL ADS - Springserve,Argentina,bbc news,70080,tt0240256,tvSeries,News,B,,VOD,serie,imdb,bbc news,,
TCL ADS - Springserve,Chile,the story of bookworm gogo season 1,69920,tt32752622,tvSeries,Animation,C,,,serie,titulo,the story of bookworm gogo,1,
iion Pty Ltd,Mexico,e4.%20peru,69440,tt7293250,short,"Comedy,Short",D,,,serie,titulo,%20peru,,4
OTTera.tv,Ecuador,rob the ranger: season 2,69360,,,,,,,serie,titulo,rob the ranger,2,
