Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
iion Pty Ltd,Colombia,increditales season 2,69280,tt28074621,tvSeries,,C,,,serie,titulo,increditales,2,
OTTera.tv,Chile,lmn's season 1,68960,,,,,,,serie,titulo,lmn's,1,
iion Pty Ltd,Argentina,forest frenzy of boonie bears season 2,68640,,,,,,,serie,titulo,forest frenzy of boonie bears,2,
OTTera.tv,Chile,the legend of zelda: tears of the kingdom season 1,66080,,,,,,,serie,titulo,the legend of zelda: tears of the kingdom,1,
iion Pty Ltd,Chile,e1. the 'dutch' caribbean,65760,,,,,,,serie,titulo,the 'dutch' caribbean,,1
OTTera.tv,Ecuador,e1. the 'dutch' caribbean,65760,,,,,,,serie,titulo,the 'dutch' caribbean,,1
OTTera.tv,Peru,om nom  season 1,64640,tt4643420,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,om nom,1,
OTTera.tv,Mexico,lily's lovely song season 1,63360,,,,,,,serie,titulo,lily's lovely song,1,
OTTera.tv,Mexico,babybus canciones infantiles - temporada 2,63120,,,,,,,serie,titulo,babybus canciones infantiles,2,
OTTera.tv,Dominican Republic,howzzattt- cricket miracles season 1,62400,,,,,,,serie,titulo,howzzattt- cricket miracles,1,
Select Plus PTE LTD (CTV),Colombia,monster town season 1,62080,tt8561356,tvSeries,Animation,D,,,serie,titulo,monster town,1,
OTTera.tv,Mexico,asya - temporada 1,60000,tt0122969,movie,"Drama,Romance",B,,,serie,titulo,asya,1,
OTTera.tv,Chile,lucky fred season 1,59360,tt2164295,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,lucky fred,1,
OTTera.tv,Colombia,find the hidden object: season 3,58320,,,,,,,serie,titulo,find the hidden object,3,
iion Pty Ltd,Chile,saari season 1,57280,tt0080934,movie,"Action,Adventure,Drama",D,,,serie,titulo,saari,1,
Select Plus PTE LTD (CTV),Colombia,car patrol season 1,56320,,,,,,,serie,titulo,car patrol,1,
OTTera.tv,Ecuador,los archivos del fbi temporada 6,56160,,,,,,,serie,titulo,los archivos del fbi,6,
TCL ADs (APAC),Argentina,spot the difference: season 4,54480,tt31289009,tvSpecial,Game-Show,D,,,serie,titulo,spot the difference,4,
TCL ADs (APAC),Argentina,el zorro viejo temporada 9,54400,,,,,,,serie,titulo,el zorro viejo,9,
OTTera.tv,Mexico,future chicken - today show season 1,54080,,,,,,,serie,titulo,future chicken - today show,1,
OTTera.tv,Colombia,spot the difference: season 15,53760,tt31289009,tvSpecial,Game-Show,D,,,serie,titulo,spot the difference,15,
TCL ADS - Springserve,Argentina,mondoyan season 1,53120,,,,,,,serie,titulo,mondoyan,1,
Select Plus PTE LTD (CTV),Peru,kong kong land season 1,52800,tt21931976,tvSeries,Animation,C,,,serie,titulo,kong kong land,1,
TCL ADs (APAC),Argentina,spot the difference: season 15,52800,tt31289009,tvSpecial,Game-Show,D,,,serie,titulo,spot the difference,15,
iion Pty Ltd,Argentina,policia especial de hamburgo temporada 2,52800,,,,,,,serie,titulo,policia especial de hamburgo,2,
OTTera.tv,Argentina,spy penguin season 1,52000,tt11328836,tvMiniSeries,Animation,C,,,serie,titulo,spy penguin,1,
iion Pty Ltd,Colombia,sadie season 2,51840,tt0019344,movie,Drama,D,,,serie,titulo,sadie,2,
iion Pty Ltd,Argentina,e2. breaking a new ground,49920,,,,,,,serie,titulo,breaking a new ground,,2
iion Pty Ltd,Mexico,invent'tom season 1,48640,,,,,,,serie,titulo,invent'tom,1,
TCL ADs (APAC),Colombia,real stories with christ - season three,48320,,,,,,,serie,titulo,real stories with christ,,
OTTera.tv,Colombia,dalia de las hadas episodio 17,48000,tt6771788,tvSeries,Family,C,,,serie,titulo,dalia de las hadas,,17
OTTera.tv,Colombia,super car (english) season 1,47840,,,,,,,serie,titulo,super car (english),1,
TCL ADS - Springserve,Panama,real stories with christ - season three,47840,,,,,,,serie,titulo,real stories with christ,,
OTTera.tv,Ecuador,yoyo season 1,46720,tt0059934,movie,"Comedy,Drama,Family",B,,,serie,titulo,yoyo,1,
iion Pty Ltd,Colombia,beadies lullabies season 1,46240,,,,,,,serie,titulo,beadies lullabies,1,
OTTera.tv,Chile,the story of bookworm gogo season 1,45760,tt32752622,tvSeries,Animation,C,,,serie,titulo,the story of bookworm gogo,1,
Aluna Limited,Argentina,forest frenzy of boonie bears season 3,45600,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
TCL ADS - Springserve,Argentina,yoyo season 1,45120,tt0059934,movie,"Comedy,Drama,Family",B,,,serie,titulo,yoyo,1,
OTTera.tv,Peru,find the hidden object: season 2,44880,,,,,,,serie,titulo,find the hidden object,2,
Select Plus PTE LTD (CTV),Peru,e2:  path of no return,44320,tt31797283,short,"Drama,Short",C,,,serie,titulo,path of no return,,2
iion Pty Ltd,Peru,forest frenzy of boonie bears season 3,44160,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
Select Plus PTE LTD (CTV),Venezuela,lucky fred season 1,43520,tt2164295,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,lucky fred,1,
iion Pty Ltd,Chile,minituns - en season 1,42560,,,,,,,serie,titulo,minituns - en,1,
TCL ADs (APAC),Chile,e1. papua new guinea,41120,,,,,,,serie,titulo,papua new guinea,,1
iion Pty Ltd,Colombia,rookie robot season 1,40320,,,,,,,serie,titulo,rookie robot,1,
PML Digital,Argentina,babybus canciones infantiles - temporada 4,39840,,,,,,,serie,titulo,babybus canciones infantiles,4,
Select Plus PTE LTD (CTV),Colombia,pikmin 4 season 1,39680,,,,,,,serie,titulo,pikmin 4,1,
OTTera.tv,Colombia,ebb and flo season 1,38880,tt12767268,tvSeries,"Animation,Family",D,,,serie,titulo,ebb and flo,1,
TCL ADS - Springserve,Argentina,hey! pikmin season 1,38560,,,,,,,serie,titulo,hey! pikmin,1,
Select Plus PTE LTD (CTV),Colombia,construction squad season 1,37600,,,,,,,serie,titulo,construction squad,1,
TCL ADS - Springserve,Argentina,kong kong land-ep01-mission impossible,37200,tt21931976,tvSeries,Animation,C,,,serie,titulo,kong kong land,,1
OTTera.tv,Colombia,the legend of zelda: tears of the kingdom season 1,37120,,,,,,,serie,titulo,the legend of zelda: tears of the kingdom,1,
TCL ADs (APAC),Ecuador,barry's animal hospital season 1,36800,,,,,,,serie,titulo,barry's animal hospital,1,
TCL ADS - Springserve,Panama,three rabbits season 1,36000,tt4505176,short,"Short,Western",C,,,serie,titulo,three rabbits,1,
TCL ADs (APAC),Chile,babybus canciones infantiles - temporada 4,35760,,,,,,,serie,titulo,babybus canciones infantiles,4,
OTTera.tv,Argentina,temporada de brujas,35520,tt0479997,movie,"Action,Adventure,Fantasy",A,"crimen-misterio,drama",,serie,titulo,temporada de brujas,,
OTTera.tv,Colombia,forest frenzy of boonie bears season 4,34560,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
iion Pty Ltd,Argentina,set sail for a funny tale season 1,34560,tt28016081,tvSeries,Animation,C,,,serie,titulo,set sail for a funny tale,1,
iion Pty Ltd,Chile,future chicken - music videos season 2,34400,,,,,,,serie,titulo,future chicken - music videos,2,
iion Pty Ltd,Argentina,lucky fred season 1,34320,tt2164295,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,lucky fred,1,
Aluna Limited,Peru,the sandman: season 2 - official date announcement teaser trailer,34240,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,,serie,titulo,the sandman,2,
iion Pty Ltd,Argentina,shadow match: season 15,34240,,,,,,,serie,titulo,shadow match,15,
Select Plus PTE LTD (CTV),Mexico,the supers season 2,34080,tt7493770,movie,"Action,Adventure,Comedy",B,,,serie,titulo,the supers,2,
Select Plus PTE LTD (CTV),Colombia,shark academy stories season 1,33760,,,,,,,serie,titulo,shark academy stories,1,
TCL ADs (APAC),Colombia,hey! pikmin season 1,33280,,,,,,,serie,titulo,hey! pikmin,1,
TCL ADs (APAC),Mexico,season of the witch,32880,tt0070379,movie,"Crime,Drama,Thriller",B,romance,,serie,titulo,season of the witch,,
TCL ADS - Springserve,Panama,vitaminix season 1,32320,tt6469326,tvSeries,"Animation,Documentary,Family",C,,,serie,titulo,vitaminix,1,
OTTera.tv,Mexico,july 4th independence day special episode - american dream,31200,,,,,,,serie,titulo,july 4th independence day special episode - american dream,,
Select Plus PTE LTD (CTV),Dominican Republic,tom's garage season 1,31200,tt0105617,movie,,C,,,serie,titulo,tom's garage,1,
TCL ADs (APAC),Dominican Republic,highlights: watch & learn season 2,30960,,,,,,,serie,titulo,highlights: watch & learn,2,
OTTera.tv,Colombia,the woof woofs season 1,30720,tt29687403,tvSeries,Animation,C,,,serie,titulo,the woof woofs,1,
OTTera.tv,Uruguay,princess peach: showtime! season 1,30720,,,,,,,serie,titulo,princess peach: showtime!,1,
iion Pty Ltd,Colombia,forest frenzy of boonie bears season 4,30720,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
TCL ADS - Springserve,Costa Rica,forest frenzy of boonie bears season 4,30400,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Mexico,domi kids (english) season 1,29920,,,,,,,serie,titulo,domi kids (english),1,
iion Pty Ltd,Chile,e2. staying connected while being off grid,29920,,,,,,,serie,titulo,staying connected while being off grid,,2
OTTera.tv,Mexico,super truck season 2,28800,,,,,,,serie,titulo,super truck,2,
