Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
TCL ADS - Springserve,Mexico,dread the unsolved,595840,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
OTTera.tv,Argentina,notorious,577760,tt5519574,tvSeries,"Drama,Thriller",B,,Not Available,serie,imdb,notorious,,
Vidaa  APAC Hisense Headquarter,Mexico,tres veces ana,548320,tt5378734,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,tres veces ana,,
Vidaa,Mexico,el clon,544720,tt0289800,tvSeries,"Drama,Romance,Sci-Fi",B,telenovela,Not Available,serie,imdb,el clon,,
iion Pty Ltd,Argentina,real stories with christ - season three,542240,,,,,,Not Available,serie,titulo,real stories with christ,,
iion Pty Ltd,Mexico,overwatch 2 - official season 16: stadium trailer,536960,,,,,,Not Available,serie,titulo,overwatch 2 - official,16,
OTTera.tv,Argentina,día cero,532480,tt23872886,tvMiniSeries,"Drama,Thriller",B,,Not Available,serie,imdb,día cero,,
Televisa Univision via SpringServe,Mexico,disenando tu amor,531520,tt14371354,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,disenando tu amor,,
OTTera.tv,Mexico,chicken stew season 6,530880,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,6,
PML Digital,Chile,breathe,505920,tt6466208,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,breathe,,
OTTera.tv,Mexico,the baddest bad boy,444960,tt13840630,tvMiniSeries,Comedy,A,,Not Available,serie,imdb,the baddest bad boy,,
Vidaa  APAC Hisense Headquarter,Mexico,sortilegio,427920,tt1439031,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,sortilegio,,
OTTera.tv,Panama,northwest passage: trailer,421280,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
TCL ADS - Springserve,Chile,haus of horror,420000,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
Televisa Univision via SpringServe,Mexico,gina yei,414880,tt15539452,tvSeries,"Comedy,Drama,Musical",A,,Not Available,serie,imdb,gina yei,,
TCL ADS - Springserve,Mexico,notorious: trailer,398720,tt5519574,tvSeries,"Drama,Thriller",B,,Not Available,serie,imdb,notorious,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,hasta que el dinero nos separe,389280,tt0815736,tvSeries,"Comedy,Drama,Romance",B,telenovela,Not Available,serie,imdb,hasta que el dinero nos separe,,
iion Pty Ltd,Mexico,returned,385280,tt2521668,tvSeries,"Drama,Horror,Mystery",B,,Not Available,serie,imdb,returned,,
OTTera.tv,Mexico,gata salvaje,368400,tt0327759,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,gata salvaje,,
Televisa Univision via SpringServe,Peru,los chicos son mejores que las flores,367200,tt1370334,tvSeries,"Comedy,Drama,Romance",A,,Not Available,serie,imdb,los chicos son mejores que las flores,,
OTTera.tv,Uruguay,breathe,366560,tt6466208,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,breathe,,
"VGI CTV, Inc APAC",Mexico,un refugio para el amor,365600,tt2186523,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,un refugio para el amor,,
OTTera.tv,Chile,returned,362080,tt2521668,tvSeries,"Drama,Horror,Mystery",B,,Not Available,serie,imdb,returned,,
"Seedtag Advertising, S.L. (ORTB)",Mexico,soy tu duena,347680,tt1630269,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,soy tu duena,,
TCL ADs (APAC),Chile,haus of horror,346240,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
OTTera.tv,Mexico,htdt season 1,340320,tt10375732,tvSeries,,C,,Not Available,serie,titulo,htdt,1,
TCL ADS - Springserve,Mexico,guilt,320640,tt9644058,tvSeries,"Comedy,Crime,Drama",B,,Not Available,serie,imdb,guilt,,
Televisa Univision via SpringServe,Guatemala,la fea mas bella,310560,tt0497152,tvSeries,"Comedy,Drama,Romance",A,telenovela,Not Available,serie,imdb,la fea mas bella,,
Vidaa,Mexico,nosotros los guapos,302000,tt7112114,tvSeries,Comedy,A,,Not Available,serie,imdb,nosotros los guapos,,
iion Pty Ltd,Mexico,forest frenzy of boonie bears season 3,277440,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,3,
Kivi via Springserve,Mexico,continuum,276640,tt1954347,tvSeries,"Action,Sci-Fi,Thriller",B,drama,Not Available,serie,imdb,continuum,,
Select Plus PTE LTD (CTV),Mexico,starhyke,263200,tt1520150,tvSeries,"Comedy,Sci-Fi",A,,Not Available,serie,imdb,starhyke,,
TCL ADs (APAC),Mexico,bubba's world,259040,tt1572209,tvSeries,Reality-TV,B,,Not Available,serie,imdb,bubba's world,,
TCL ADs (APAC),Argentina,chronic horror,258720,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic horror,,
Televisa Univision via SpringServe,Mexico,la gata,256080,tt3596316,tvSeries,"Action,Drama,Family",B,telenovela,Not Available,serie,imdb,la gata,,
iion Pty Ltd,Peru,container masters,254880,tt10257240,tvSeries,Reality-TV,A,,Not Available,serie,imdb,container masters,,
Select Plus PTE LTD (CTV),Colombia,x-men: evolution season 2,254560,tt0247827,tvSeries,"Action,Adventure,Animation",A,comedia,Not Available,serie,titulo,x-men: evolution,2,
TCL ADS - Springserve,Mexico,seleccion natural,248640,tt8110288,tvMiniSeries,"Crime,Thriller",B,,Not Available,serie,imdb,seleccion natural,,
iion Pty Ltd,Argentina,día cero,245920,tt23872886,tvMiniSeries,"Drama,Thriller",B,,Not Available,serie,imdb,día cero,,
OTTera.tv,Argentina,chicken stew season 7,238800,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,7,
iion Pty Ltd,Colombia,andor: season 2 - official 'win' teaser trailer,237280,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,Not Available,serie,titulo,andor,2,
Select Plus PTE LTD (CTV),Colombia,chicken stew season 3,235680,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,3,
Vidaa,Honduras,rebelde,233600,tt14153686,tvSeries,"Comedy,Drama,Music",B,infantil-familia,Not Available,serie,imdb,rebelde,,
OTTera.tv,Colombia,para verte mejor,231120,tt7180378,tvSeries,"Drama,Romance,Thriller",A,telenovela,Not Available,serie,imdb,para verte mejor,,
TCL ADs (APAC),Mexico,the smurfs,231040,tt29883471,tvMiniSeries,"Animation,Comedy,Family",B,,Not Available,serie,imdb,the smurfs,,
iion Pty Ltd,Peru,chicken stew season 1,230160,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,1,
iion Pty Ltd,Mexico,glory kickboxing,228640,tt3280216,tvSeries,Sport,A,,Not Available,serie,imdb,glory kickboxing,,
OTTera.tv,Chile,something scary season 3,222240,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,3,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,chronic horror,220800,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic horror,,
TCL ADS - Springserve,Mexico,wanted,220320,tt0289016,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,wanted,,
TCL ADs (APAC),Mexico,bbc news,218880,tt0240256,tvSeries,News,B,,Not Available,serie,imdb,bbc news,,
OTTera.tv,Mexico,where's the love?,197120,tt4819106,tvSeries,"Comedy,Drama",B,,Not Available,serie,imdb,where's the love?,,
TCL ADS - Springserve,Mexico,chicken stew season 4,196800,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,4,
iion Pty Ltd,Mexico,northwest passage,194720,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
iion Pty Ltd,Argentina,día cero,194720,tt23872886,tvMiniSeries,"Drama,Thriller",B,,Not Available,serie,imdb,día cero,,
Televisa Univision via SpringServe,Argentina,nuevo sol,194400,tt8328962,tvSeries,"Comedy,Drama",A,telenovela,Not Available,serie,imdb,nuevo sol,,
TCL ADS - Springserve,Argentina,real stories with christ - season three,193920,,,,,,Not Available,serie,titulo,real stories with christ,,
TCL ADs (APAC),Argentina,judas,184160,tt9537450,tvSeries,"Biography,Crime,Drama",B,,Not Available,serie,imdb,judas,,
iion Pty Ltd,Mexico,quicksand,182880,tt7340738,tvMiniSeries,"Crime,Drama,Mystery",B,,Not Available,serie,imdb,quicksand,,
TCL ADs (APAC),Argentina,haus of horror,180480,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,muchachitas,177600,tt0191705,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,muchachitas,,
TCL ADS - Springserve,Mexico,out on a limb,177440,tt0093688,tvMiniSeries,"Biography,Drama,Romance",B,,Not Available,serie,imdb,out on a limb,,
Vidaa  APAC Hisense Headquarter,Mexico,amorcito corazon,175760,tt2046305,tvSeries,"Comedy,Drama,Romance",B,telenovela,Not Available,serie,imdb,amorcito corazon,,
TCL ADs (APAC),Mexico,grudge talk,175040,tt31709881,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge talk,,
Televisa Univision via SpringServe,Mexico,xhdrbz,173920,tt0409642,tvSeries,"Comedy,Family",A,,Not Available,serie,imdb,xhdrbz,,
FreeTV via Springserve,Mexico,la fuerza del deseo,173120,tt0087305,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,la fuerza del deseo,,
OTTera.tv,Mexico,vitaminix season 1,172800,tt6469326,tvSeries,"Animation,Documentary,Family",C,,Not Available,serie,titulo,vitaminix,1,
OTTera.tv,Colombia,scarred,172640,tt2983900,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,scarred,,
iion Pty Ltd,Mexico,cain%20%28part%202%29,171360,tt2364258,tvSeries,"Crime,Drama,Mystery",B,,Not Available,serie,imdb,cain%20%28part%202%29,,
iion Pty Ltd,Mexico,purple devil season 1,169120,,,,,,Not Available,serie,titulo,purple devil,1,
Equativ (Formerly SMART AdServer) - oRTB CTV,Colombia,la que no podia amar,168800,tt2012381,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,la que no podia amar,,
PML Digital,Chile,bump,167840,tt13751472,tvSeries,"Comedy,Drama,Romance",B,,Not Available,serie,imdb,bump,,
OTTera.tv,Mexico,melody,166880,tt25437934,tvSeries,"Comedy,Drama,Musical",B,,Not Available,serie,imdb,melody,,
TCL ADs (APAC),Colombia,cain (part 1),164160,tt2364258,tvSeries,"Crime,Drama,Mystery",B,,Not Available,serie,imdb,cain,,
iion Pty Ltd,Argentina,melody,162720,tt25437934,tvSeries,"Comedy,Drama,Musical",B,,Not Available,serie,imdb,melody,,
iion Pty Ltd,Colombia,something scary season 2,162080,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,2,
TCL ADs (APAC),Mexico,just for laughs gags,160000,tt2486436,tvSeries,"Action,Comedy,Reality-TV",B,,Not Available,serie,imdb,just for laughs gags,,
TCL ADs (APAC),Mexico,grudge race,159200,tt6291472,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge race,,
Televisa Univision via SpringServe,Peru,india - una historia de amor,159120,tt1360961,tvSeries,"Adventure,Drama,Romance",A,telenovela,Not Available,serie,imdb,india - una historia de amor,,
iion Pty Ltd,Mexico,eddie is a yeti season 1,156640,tt5814746,tvMiniSeries,Animation,A,,Not Available,serie,titulo,eddie is a yeti,1,
"VGI CTV, Inc APAC",Mexico,una familia de diez,153840,tt0996011,tvSeries,"Comedy,Family,Romance",A,,Not Available,serie,imdb,una familia de diez,,
OTTera.tv,Costa Rica,the baddest bad boy,153600,tt13840630,tvMiniSeries,Comedy,A,,Not Available,serie,imdb,the baddest bad boy,,
Televisa Univision via SpringServe,Mexico,la desalmada,153120,tt14414246,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,la desalmada,,
iion Pty Ltd,Argentina,judas,153120,tt9537450,tvSeries,"Biography,Crime,Drama",B,,Not Available,serie,imdb,judas,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,mujer de madera,151360,tt0389662,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,mujer de madera,,
Vidaa,Mexico,esta historia me suena,147680,tt10540362,tvSeries,Drama,A,,Not Available,serie,imdb,esta historia me suena,,
iion Pty Ltd,Peru,northwest passage,146080,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
TCL ADS - Springserve,Argentina,breathe,145920,tt6466208,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,breathe,,
OTTera.tv,Peru,morena clara,145920,tt0222597,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,morena clara,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,la que no podia amar,145440,tt2012381,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,la que no podia amar,,
iion Pty Ltd,Chile,jerico,144800,tt0805663,tvSeries,"Action,Drama,Mystery",B,,Not Available,serie,imdb,jerico,,
Televisa Univision via SpringServe,Honduras,la rosa de guadalupe,142560,tt1192302,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,la rosa de guadalupe,,
OTTera.tv,Peru,naruto shippuden temporada 1,141840,tt0988824,tvSeries,"Action,Adventure,Animation",A,,Not Available,serie,titulo,naruto shippuden,1,
OTTera.tv,Argentina,princess peach: showtime! season 1,140160,,,,,,Not Available,serie,titulo,princess peach: showtime!,1,
TCL ADS - Springserve,Mexico,something scary season 2,136960,tt8192306,tvSeries,"Animation,Horror,Short",B,,Not Available,serie,titulo,something scary,2,
Televisa Univision via SpringServe,Mexico,el principe del barrio,136800,tt28704644,tvSeries,Comedy,A,,Not Available,serie,imdb,el principe del barrio,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,me robo mi vida,136720,tt3659018,tvSeries,Drama,A,,Not Available,serie,imdb,me robo mi vida,,
OTTera.tv,Mexico,sindbad and the seven galaxies season 1,135040,,,,,,Not Available,serie,titulo,sindbad and the seven galaxies,1,
TCL ADS - Springserve,Mexico,locked in hellsend,133280,,,,,,Not Available,serie,intra_titulo,Locked in Hellsend,,
iion Pty Ltd,Peru,pixeldash,133200,,,,,,Not Available,serie,intra_titulo,pixeldash,,
OTTera.tv,Costa Rica,melody,133120,tt25437934,tvSeries,"Comedy,Drama,Musical",B,,Not Available,serie,imdb,melody,,
TCL ADS - Springserve,Honduras,dread the unsolved,132000,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
Select Plus PTE LTD (CTV),Mexico,dog whisperer,131840,tt0423642,tvSeries,"Family,Reality-TV",A,,Not Available,serie,imdb,dog whisperer,,
iion Pty Ltd,Argentina,wanted,129920,tt0289016,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,wanted,,
