Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
TCL ADS - Springserve,Mexico,learning with animacars season 1,64800,,,,,,,serie,titulo,learning with animacars,1,
OTTera.tv,Colombia,tom's garage season 1,64000,tt0105617,movie,,C,,,serie,titulo,tom's garage,1,
iion Pty Ltd,Argentina,spy penguin season 1,63840,tt11328836,tvMiniSeries,Animation,C,,,serie,titulo,spy penguin,1,
OTTera.tv,Colombia,super truck season 2,63680,,,,,,,serie,titulo,super truck,2,
OTTera.tv,Costa Rica,forest frenzy of boonie bears season 1,63520,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
OTTera.tv,Chile,tom's paint shop season 1,62880,,,,,,,serie,titulo,tom's paint shop,1,
iion Pty Ltd,Argentina,andor: season 2 - official 'win' teaser trailer,62560,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
PML Digital,Chile,e3. boondocking. going off the grid,62400,,,,,,,serie,titulo,boondocking. going off the grid,,3
Select Plus PTE LTD (CTV),Colombia,the supers season 2,61760,tt7493770,movie,"Action,Adventure,Comedy",B,,,serie,titulo,the supers,2,
OTTera.tv,Chile,invent'tom season 1,61600,,,,,,,serie,titulo,invent'tom,1,
iion Pty Ltd,Colombia,beadies songs season 1,61280,,,,,,,serie,titulo,beadies songs,1,
TCL ADS - Springserve,Dominican Republic,bbc news,60320,tt0240256,tvSeries,News,B,,VOD,serie,imdb,bbc news,,
iion Pty Ltd,Chile,gunnie season,60000,,,,,,,serie,titulo,gunnie season,,
TCL ADS - Springserve,Honduras,andor: season 2 - official 'win' teaser trailer,59280,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
iion Pty Ltd,Colombia,forest frenzy of boonie bears season 4,58720,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
TCL ADs (APAC),Argentina,baby trucks season 1,57120,,,,,,,serie,titulo,baby trucks,1,
Scripps - Springserve,Venezuela,waikiki,56960,tt0108889,tvSeries,Drama,B,crimen-misterio,OTT Studios Entertainment On Demand,serie,imdb,waikiki,,
OTTera.tv,Panama,super police barry（english) season 1,56480,,,,,,,serie,titulo,super police barry（english),1,
OTTera.tv,Chile,e1. a rockstar's first flight,54720,,,,,,,serie,titulo,a rockstar's first flight,,1
TCL ADs (APAC),Argentina,super car (english) season 1,54560,,,,,,,serie,titulo,super car (english),1,
TCL ADs (APAC),Argentina,count hidden objects: season 16,51200,,,,,,,serie,titulo,count hidden objects,16,
TCL ADs (APAC),Chile,andor: season 2 - official 'win' teaser trailer,50560,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
Select Plus PTE LTD (CTV),Mexico,eggroy season 1,50560,,,,,,,serie,titulo,eggroy,1,
TCL ADs (APAC),Argentina,shadow match: season 16,49760,,,,,,,serie,titulo,shadow match,16,
Select Plus PTE LTD (CTV),Mexico,beadies lullabies season 1,49760,,,,,,,serie,titulo,beadies lullabies,1,
iion Pty Ltd,Argentina,barry's animal hospital season 1,49440,,,,,,,serie,titulo,barry's animal hospital,1,
TCL ADs (APAC),Colombia,beadies songs season 1,49120,,,,,,,serie,titulo,beadies songs,1,
iion Pty Ltd,Mexico,minituns - en season 2,48960,,,,,,,serie,titulo,minituns - en,2,
