Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,saints and heroes collection,"family,kids,other,anime",[-7],,,,,tt13601622,tvMiniSeries,Animation,C,no_comparable,,216960,"[329, 641, 334, 645]",Movies > Animation Movies | Television > Animation TV | Movies > Family and Children Movies | Television > Children's TV,[IAB1],0,2,interna,
Televisa Univision via SpringServe,Mexico,tudn,sports talksoccer,[-7],,,,,,,,,no_comparable,,216000,,,[IAB1],0,0,ninguna,
TCL ADs (APAC),Colombia,alien high,"adventure,anime,sci-fi",[-7],,,,,tt18501888,movie,"Action,Adventure,Animation",B,coincide,,215360,"[325, 329, 334]",Movies > Action and Adventure Movies | Movies > Animation Movies | Movies > Family and Children Movies,[IAB1-5],0,3,externa,imdb
OTTera.tv,Mexico,waiting%20for%20the%20miracle%20to%20come,Not Applicable,[-7],,,,,tt4444732,movie,"Drama,Fantasy",A,sin_genero_declarado,,214560,"[333, 335]",Movies > Drama Movies | Movies > Fantasy Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Mexico,michelin restaurant,Lifestyle,[-7],,,,,,,,,no_comparable,,214240,,,[IAB1],0,1,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,desimpedidos,entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,214160,,,,1,1,ninguna,
OTTera.tv,Mexico,plastic,Horror,[IAB1-5],Movies,externa,coincide,,tt2556874,movie,"Action,Comedy,Crime",B,no_coincide,,213600,"[325, 330, 331]",Movies > Action and Adventure Movies | Movies > Comedy Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
Televisa Univision via SpringServe,Puerto Rico,Not Applicable,Comedy,[-7],,,,,,,,,no_comparable,,213280,"[330, 646]",Movies > Comedy Movies | Television > Comedy TV,[IAB1],0,2,interna,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,medicos linea de vida,Drama,"[IAB1, IAB1-5]",Arts & Entertainment | Movies,externa,contradice,forma:pelicula!=tv,tt11166096,tvSeries,Drama,A,coincide,vertical,213120,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],2,3,externa,imdb
iion Pty Ltd,Mexico,melody,Comedy,[-7],,,,,tt25437934,tvSeries,"Comedy,Drama,Musical",B,coincide,,211360,"[646, 647]",Television > Comedy TV | Television > Drama TV,[IAB1-7],0,3,externa,imdb
TCL ADS - Springserve,Chile,undying,Drama,[-7],,,,,tt5723282,movie,"Drama,Fantasy,Romance",B,coincide,,211200,"[333, 335, 326]",Movies > Drama Movies | Movies > Fantasy Movies | Movies > Romance Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Colombia,andromeda 3,Action,[-7],,,,,tt27430508,movie,Sci-Fi,A,no_coincide,,211040,[327],Movies > Science Fiction Movies,[IAB1-5],0,3,externa,imdb
Select Plus PTE LTD (CTV),Mexico,infliction,Horror,[-7],,,,,tt2505856,movie,"Horror,Thriller",B,coincide,,210240,"[336, 331]",Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
TCL ADS - Springserve,Mexico,being keegan (stephen graham),Drama,[-7],,,,,,,,,no_comparable,,209760,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
iion Pty Ltd,Argentina,el gran mclintock,Western,[-7],,,,,tt0057298,movie,"Comedy,Western",A,coincide,,208800,[330],Movies > Comedy Movies,[IAB1-5],0,3,externa,imdb
TCL ADS - Springserve,Dominican Republic,northwest passage: trailer,"western,adventure,drama,romance,war,history",[-7],,,,,tt0051299,tvSeries,"Adventure,Drama,Western",B,coincide,,208320,[647],Television > Drama TV,[IAB1-7],0,3,externa,imdb
iion Pty Ltd,Mexico,nasser,History,[-7],,,,,tt3110402,tvSeries,History,B,coincide,,208320,"[648, 647]",Television > Factual TV | Television > Drama TV,[IAB1-7],0,3,externa,imdb
TCL ADs (APAC),Mexico,undying,Drama,[-7],,,,,tt5723282,movie,"Drama,Fantasy,Romance",B,coincide,,208320,"[333, 335, 326]",Movies > Drama Movies | Movies > Fantasy Movies | Movies > Romance Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Mexico,plato%27s%20reality%20machine%3a%20trailer,sci-fi,[-7],,,,,tt2040470,movie,"Comedy,Drama,Sci-Fi",A,coincide,,207840,"[330, 333, 327]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Science Fiction Movies,[IAB1-5],0,3,externa,imdb
OTTera.tv,Colombia,feeling butterflies,Family,[IAB1],Arts & Entertainment,externa,compatible,generico,tt18313970,tvMovie,"Comedy,Drama,Romance",A,no_coincide,,206720,"[330, 646, 333, 647, 326]",Movies > Comedy Movies | Television > Comedy TV | Movies > Drama Movies | Television > Drama TV | Movies > Romance Movies,[IAB1],1,2,externa,
iion Pty Ltd,Colombia,freshman year,"drama,romance",[-7],,,,,tt11618536,movie,"Comedy,Drama,Romance",B,coincide,,206240,"[330, 333, 326]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],0,3,externa,imdb
TCL ADS - Springserve,Dominican Republic,wolf girl: trailer,"horror,fantasy",[-7],,,,,tt0265752,movie,"Drama,Fantasy,Horror",B,coincide,,206160,"[333, 335, 336]",Movies > Drama Movies | Movies > Fantasy Movies | Movies > Horror Movies,[IAB1-5],0,3,externa,imdb
TCL ADs (APAC),Argentina,bella's story_trailer,Drama,[-7],,,,,,,,,no_comparable,,206080,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
