Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
Televisa Univision via SpringServe,Guatemala,al diablo con los guapos,243120,tt1132292,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,al diablo con los guapos,,
OTTera.tv,Mexico,breathe,239520,tt6466208,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,breathe,,
Vidaa  APAC Hisense Headquarter,Mexico,como dice el dicho,239440,tt1831897,tvSeries,"Comedy,Drama",A,telenovela,Not Available,serie,imdb,como dice el dicho,,
Vidaa  APAC Hisense Headquarter,Guatemala,hasta que el dinero nos separe,238400,tt0815736,tvSeries,"Comedy,Drama,Romance",B,telenovela,Not Available,serie,imdb,hasta que el dinero nos separe,,
TCL ADS - Springserve,Mexico,st. urbain's horseman,236320,tt0830165,tvMiniSeries,Drama,A,,Not Available,serie,imdb,st. urbain's horseman,,
TCL ADS - Springserve,Mexico,the legend of zelda: tears of the kingdom season 1,233120,,,,,,Not Available,serie,titulo,the legend of zelda: tears of the kingdom,1,
Vidaa,Mexico,de que te quiero te quiero,231280,tt2983896,tvSeries,"Comedy,Drama,Romance",A,telenovela,Not Available,serie,imdb,de que te quiero te quiero,,
Kivi via Springserve,Chile,real stories with christ - season three,227680,,,,,,Not Available,serie,titulo,real stories with christ,,
iion Pty Ltd,Honduras,pixeldash,226160,,,,,,Not Available,serie,intra_titulo,pixeldash,,
TCL ADS - Springserve,Mexico,shifting gears,225440,tt31614348,tvSeries,Comedy,B,,Not Available,serie,imdb,shifting gears,,
TCL ADS - Springserve,Chile,x-men: evolution season 2,197600,tt0247827,tvSeries,"Action,Adventure,Animation",A,comedia,Not Available,serie,titulo,x-men: evolution,2,
iion Pty Ltd,Chile,mondoyan season 1,197440,,,,,,Not Available,serie,titulo,mondoyan,1,
TCL ADS - Springserve,Mexico,e3. somalia: battle in the sea,194880,,,,,,Not Available,serie,titulo,somalia: battle in the sea,,3
Select Plus PTE LTD (CTV),Ecuador,grudge talk,194400,tt31709881,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge talk,,
TCL ADS - Springserve,Mexico,dog whisperer,194080,tt0423642,tvSeries,"Family,Reality-TV",A,,Not Available,serie,imdb,dog whisperer,,
OTTera.tv,Ecuador,thrillbillies,192000,tt1500999,tvSeries,Sport,B,,Not Available,serie,imdb,thrillbillies,,
TCL ADS - Springserve,Mexico,northwest passage: trailer,188480,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
OTTera.tv,Argentina,un caso para dos s05,184800,tt0081860,tvSeries,"Crime,Thriller",B,,Not Available,serie,imdb,un caso para dos,5,
Televisa Univision via SpringServe,Mexico,nosotros los guapos,184320,tt7112114,tvSeries,Comedy,A,,Not Available,serie,imdb,nosotros los guapos,,
