Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
"Coocaa, a SKYWORTH company",Chile,matt the mortgage guy,Not Applicable,[IAB13],Personal Finance,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,1025440,[640],Television,[IAB1-7],1,2,serie,contentSeries
Vidaa  APAC Hisense Headquarter,Panama,Not Applicable,News,[IAB12],News,interna,coincide,,,,,,no_comparable,,1007280,,,,1,1,interna,
Roku - oRTB,Mexico,Not Applicable,Crime,"[IAB1-7, IAB11, IAB12]","Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,1002240,[640],Television,[IAB1-7],2,2,interna,contentSeries
Televisa Univision via SpringServe,Mexico,simplemente maria 1989,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,998400,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Select Plus PTE LTD (CTV),Mexico,sub-verge - official trailer   galaxies gaming showcase 2025,Not Applicable,,,,,,,,,,no_comparable,,998240,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Mexico,she devils on wheels,Drama,[IAB1-5],Movies,externa,coincide,,tt0063595,movie,"Action,Crime,Thriller",A,no_coincide,,996000,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Colombia,cashpoint,Romance,[IAB1-7],Television,externa,coincide,,tt5949660,tvSeries,Comedy,B,no_coincide,,990880,[646],Television > Comedy TV,[IAB1-7],2,3,externa,imdb
TCL ADS - Springserve,Mexico,shock%3a%20my%20abstraction%20of%20death,Not Applicable,[IAB1-5],Movies,externa,coincide,,tt2806988,movie,Thriller,A,sin_genero_declarado,,977120,"[331, 336]",Movies > Crime and Mystery Movies | Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,humble pie,Drama,[IAB1-5],Movies,externa,coincide,,tt0790612,movie,"Comedy,Drama",B,coincide,,968160,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
Televisa Univision via SpringServe,Argentina,avenida brasil,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt2303077,tvSeries,"Crime,Drama,Thriller",B,coincide,,955920,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
OTTera.tv,Chile,hot rod girl_trailer,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,954720,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Colombia,something scary season 1,Horror,[IAB1-7],Television,externa,coincide,,tt8192306,tvSeries,"Animation,Horror,Short",B,coincide,,950400,[641],Television > Animation TV,[IAB1-7],2,3,externa,titulo
"Coocaa, a SKYWORTH company",Costa Rica,quem é o pior jogador da loud? verdade. desafio ou bolada,Comedy,[IAB17-1],Auto Racing,interna,contradice,vertical:deportes,,,,,no_comparable,,946560,[646],Television > Comedy TV,[IAB1-7],2,3,interna,contentSeries
iion Pty Ltd,Argentina,necrosis,Horror,[IAB1-5],Movies,externa,coincide,,tt1131743,movie,"Horror,Thriller",B,coincide,,945280,"[336, 331, 328]",Movies > Horror Movies | Movies > Crime and Mystery Movies | Movies > Indie and Arthouse Movies,[IAB1-5],2,3,externa,imdb
PML Digital,Chile,calla lily,Drama,[sports],sports,externa,contradice,vertical:deportes,tt3903416,movie,Drama,B,coincide,vertical,940000,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
OTTera.tv,Mexico,boca chica,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt17065440,movie,Drama,B,coincide,,938880,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
"Coocaa, a SKYWORTH company",Costa Rica,martina vs 10 nerds - podpaquera,Reality,[IAB1-6],Music,interna,compatible,generico,,,,,no_comparable,,927680,[651],Television > Reality TV,[IAB1-7],1,3,interna,contentSeries
TCL ADs (APAC),Mexico,duck camp dinners season 2,Adventure,[IAB1-7],Television,externa,coincide,,tt35146256,tvSeries,Reality-TV,A,no_coincide,,924640,[651],Television > Reality TV,[IAB1-7],2,3,externa,titulo
TCL ADs (APAC),Mexico,mix_trailer,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,919520,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Colombia,bitter/sweet,Drama,[IAB1-5],Movies,externa,compatible,generico,tt0805494,tvMovie,"Comedy,Drama",B,coincide,,918880,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,declarado
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,Not Applicable,Action,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,901760,[325],Movies > Action and Adventure Movies,[IAB1],1,2,interna,
TCL ADs (APAC),Mexico,in-lawfully yours,Drama,[IAB1-5],Movies,externa,coincide,,tt4286666,movie,"Comedy,Romance",A,no_coincide,,887360,"[330, 326]",Movies > Comedy Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,cabroìn,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,884160,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
TCL ADS - Springserve,Chile,asesinato abajo,Action,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,860160,[325],Movies > Action and Adventure Movies,[IAB1],1,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,Not Applicable,Not Applicable,,,,,,,,,,no_comparable,,850160,,,[IAB1],0,0,ninguna,
TCL ADs (APAC),Mexico,christian mingle,Drama,[IAB1-5],Movies,externa,coincide,,tt3398066,movie,"Comedy,Drama,Family",A,coincide,,848480,"[330, 333, 334]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Family and Children Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Mexico,secrets about white noise,Thriller,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,843040,[331],Movies > Crime and Mystery Movies,[IAB1],1,2,interna,
iion Pty Ltd,Mexico,locked down   official trailer   hbo max,Crime,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,834400,[331],Movies > Crime and Mystery Movies,[IAB1],1,2,interna,
Roku - oRTB,Mexico,Not Applicable,News,"[IAB1-7, IAB12-2, IAB17, IAB19]",Television | National News | Sports | Technology & Computing,interna,coincide,,,,,,no_comparable,,830240,,,,2,2,interna,declarado
Zeasn Europe B.V. (Springserve),Peru,best mountains views,Outdoors,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,828960,,,,1,1,ninguna,
iion Pty Ltd,Mexico,love lust and money,Drama,[IAB1-5],Movies,externa,coincide,,tt13582202,movie,Drama,A,coincide,,826560,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Chile,única tv,Lifestyle,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,797280,,,,1,1,interna,
OTTera.tv,Mexico,bitter%2fsweet,Not Applicable,[IAB1],Arts & Entertainment,externa,compatible,generico,tt0805494,tvMovie,"Comedy,Drama",B,sin_genero_declarado,,757600,"[330, 646, 333, 647]",Movies > Comedy Movies | Television > Comedy TV | Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,externa,
OTTera.tv,Peru,the happiest place on earth: trailer,Thriller,[IAB1],Arts & Entertainment,externa,compatible,generico,tt2975598,movie,"Drama,Mystery",B,coincide,,739680,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Mexico,breathe,Drama,[IAB1-7],Television,externa,coincide,,tt6466208,tvSeries,"Crime,Drama,Thriller",B,coincide,,734080,[647],Television > Drama TV,[IAB1-7],2,3,externa,imdb
iion Pty Ltd,Colombia,rnb motion podcast,Entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,732320,,,,1,1,ninguna,
iion Pty Ltd,Peru,the winter lake,Drama,[IAB1-5],Movies,externa,coincide,,tt9778348,movie,"Drama,Mystery,Thriller",A,coincide,,725760,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Argentina,the curse of audrey earnshaw,Horror,[IAB1-5],Movies,externa,coincide,,tt7157146,movie,"Drama,Horror,Mystery",A,coincide,,724960,"[333, 336, 331]",Movies > Drama Movies | Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Colombia,life is just a ride,Documentary,[IAB1-5],Movies,externa,coincide,,tt13270220,movie,Documentary,A,coincide,,722400,[332],Movies > Documentary Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Colombia,webcam fantasma,Horror,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,716000,[336],Movies > Horror Movies,[IAB1],1,2,interna,
