Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_detalle,ser_es,serie_propuesta
Scripps - FreeWheel,Puerto Rico,shooter,61280,tt2599878,movie,"Action,Crime,Drama",B,,NCIS,IMDb movie Operation Fryday (tt2599878),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,viral,61280,tt2597892,movie,"Drama,Horror,Sci-Fi",B,,Haven,IMDb movie Viral (tt2597892),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,furia,61200,tt2401807,movie,"Action,Thriller",B,,The Good Doctor,IMDb movie Rage (tt2401807),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,executor,60720,tt0084704,movie,"Action,Adventure,Thriller",B,,Infierno Sobre Ruedas,IMDb movie The Soldier (tt0084704),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,the wedding gift,60320,tt0322916,movie,"Comedy,Drama",B,romance,The Chosen,IMDb movie Kalyana Parisu (tt0322916),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,patitos feos,59840,tt7941932,movie,"Adventure,Comedy,Western",A,,Seguridad de Frontera: Canadá,IMDb movie Ugly Ducklings (tt7941932),pelicula,
Scripps - FreeWheel,Puerto Rico,street+revenge,59840,tt0841174,movie,"Action,Crime",A,,Law and Order SVU,IMDb movie Street Revenge (tt0841174),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,park,59680,tt0469519,movie,"Comedy,Drama",B,,The Good Doctor,IMDb movie Park (tt0469519),pelicula,
Scripps - FreeWheel,Puerto Rico,long+lost,59520,tt7282278,movie,"Drama,Mystery,Thriller",B,,Blue Bloods,IMDb movie Long Lost (tt7282278),pelicula,
Scripps - FreeWheel,Puerto Rico,silver+linings,59520,tt1045658,movie,"Comedy,Drama,Romance",B,,Blue Bloods,IMDb movie Silver Linings Playbook (tt1045658),pelicula,
FreeTV via Springserve,Mexico,romance mortal,59280,tt0069186,movie,"Crime,Drama,Horror",A,,El Archivista,IMDb movie The Slasher ... Is the Sex Maniac! (tt0069186),pelicula,
Scripps - FreeWheel,Puerto Rico,by+hook+or+by+crook,59200,tt0290498,movie,"Crime,Drama,Romance",B,,Blue Bloods,IMDb movie By Hook or by Crook (tt0290498),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,por orden de desaparición,59040,tt2675914,movie,"Action,Comedy,Crime",A,drama,Haven,IMDb movie In Order of Disappearance (tt2675914),pelicula,
LG Ads EMEA - SS,Mexico,la fuerza de los humildes,59040,tt0270377,movie,"Adventure,Drama",A,,Chicos del Barrio,IMDb movie La fuerza de los humildes (tt0270377),pelicula,
LG Ads EMEA - SS,Mexico,blood money,58640,tt3758852,movie,"Action,Adventure,Crime",B,,El Cazador,IMDb movie Blood Money (tt3758852),pelicula,
Scripps - FreeWheel,Puerto Rico,fragments,58400,tt0948547,movie,"Crime,Drama",B,,NCIS,IMDb movie Winged Creatures (tt0948547),pelicula,
Scripps - FreeWheel,Puerto Rico,bulletproof,58240,tt0115783,movie,"Action,Comedy,Crime",B,,NCIS,IMDb movie Bulletproof (tt0115783),pelicula,
LG Ads EMEA - SS,Mexico,una familia peligrosa,58080,tt2404311,movie,"Comedy,Crime,Thriller",A,accion-aventura,The Good Doctor,IMDb movie The Family (tt2404311),pelicula,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,mi último round,57440,tt1863321,movie,"Drama,Romance,Sport",A,,Civiles en Armas,IMDb movie My Last Round (tt1863321),pelicula,
Scripps - FreeWheel,Puerto Rico,undisclosed,57280,tt21216388,movie,"Crime,Drama,Horror",B,,FBI,IMDb movie Undisclosed (tt21216388),pelicula,
Scripps - FreeWheel,Puerto Rico,salvation,57280,tt1457764,movie,"Crime,Drama",B,,FBI,IMDb movie Salvation U.S.A. (tt1457764),pelicula,
