Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
TCL ADs (APAC),Mexico,e8. the colombian brew,73760,,,,,,,serie,titulo,the colombian brew,,8
iion Pty Ltd,Colombia,overwatch 2 - official season 16: stadium trailer,68880,,,,,,,serie,titulo,overwatch 2 - official,16,
iion Pty Ltd,Argentina,overwatch 2 - official season 16: stadium trailer,68320,,,,,,,serie,titulo,overwatch 2 - official,16,
OTTera.tv,Mexico,e2.%20sandy%20mountains%20of%20brazil,68000,,,,,,,serie,titulo,%20sandy%20mountains%20of%20brazil,,2
iion Pty Ltd,Chile,purple devil season 1,67520,,,,,,,serie,titulo,purple devil,1,
iion Pty Ltd,Mexico,three rabbits season 1,67200,tt4505176,short,"Short,Western",C,,,serie,titulo,three rabbits,1,
iion Pty Ltd,Argentina,saari season 1,67200,tt0080934,movie,"Action,Adventure,Drama",D,,,serie,titulo,saari,1,
OTTera.tv,Mexico,heroes of envell - eng season 1,66080,,,,,,,serie,titulo,heroes of envell - eng,1,
OTTera.tv,Argentina,nck season 1,66000,,,,,,,serie,titulo,nck,1,
OTTera.tv,Argentina,three rabbits season 1,65600,tt4505176,short,"Short,Western",C,,,serie,titulo,three rabbits,1,
TCL ADS - Springserve,Argentina,e1. learning to drive an rv,65520,,,,,,,serie,titulo,learning to drive an rv,,1
OTTera.tv,Argentina,purple devil season 1,63520,,,,,,,serie,titulo,purple devil,1,
iion Pty Ltd,Peru,la fiebre del jade: temporada 7,62640,,,,,,,serie,titulo,la fiebre del jade,7,
TCL ADS - Springserve,Mexico,spy penguin season 1,62560,tt11328836,tvMiniSeries,Animation,C,,VOD,serie,titulo,spy penguin,1,
TCL ADS - Springserve,Chile,sonic superstars season 1,61440,,,,,,,serie,titulo,sonic superstars,1,
TCL ADS - Springserve,Chile,shark academy original songs season 1,61200,,,,,,,serie,titulo,shark academy original songs,1,
OTTera.tv,Argentina,speedracer- the next generation season 1,60800,,,,,,,serie,titulo,speedracer- the next generation,1,
iion Pty Ltd,Peru,learning with animacars season 1,60480,,,,,,,serie,titulo,learning with animacars,1,
iion Pty Ltd,Chile,hey! pikmin season 1,60400,,,,,,,serie,titulo,hey! pikmin,1,
TCL ADS - Springserve,Argentina,super abby season 1,59760,,,,,,,serie,titulo,super abby,1,
OTTera.tv,Peru,forest frenzy of boonie bears season 4,59280,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Guatemala,real stories with christ - season three,58400,,,,,,,serie,titulo,real stories with christ,,
iion Pty Ltd,Chile,bunny brothers season 1,57680,tt29687367,tvSeries,Animation,C,,,serie,titulo,bunny brothers,1,
Select Plus PTE LTD (CTV),Mexico,e2. tanzania,57120,,,,,,,serie,titulo,tanzania,,2
iion Pty Ltd,Argentina,baby trucks season 1,56160,,,,,,,serie,titulo,baby trucks,1,
OTTera.tv,Peru,babybus canciones infantiles - temporada 7,55360,,,,,,,serie,titulo,babybus canciones infantiles,7,
iion Pty Ltd,Mexico,future chicken - today show season 2,55200,,,,,,,serie,titulo,future chicken - today show,2,
iion Pty Ltd,Chile,the children's kingdom season 1,53440,tt33293592,tvSeries,"Animation,Family,Music",C,,,serie,titulo,the children's kingdom,1,
TCL ADs (APAC),Peru,kong kong land season 1,52400,tt21931976,tvSeries,Animation,C,,,serie,titulo,kong kong land,1,
OTTera.tv,Mexico,shark academy stories season 1,52160,,,,,,,serie,titulo,shark academy stories,1,
iion Pty Ltd,Peru,forest frenzy of boonie bears season 1,52080,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
iion Pty Ltd,Colombia,forest frenzy of boonie bears season 2,51920,,,,,,,serie,titulo,forest frenzy of boonie bears,2,
OTTera.tv,Panama,e2. 'illegal' medicines,51680,,,,,,,serie,titulo,'illegal' medicines,,2
OTTera.tv,Costa Rica,e8. the colombian brew,51360,,,,,,,serie,titulo,the colombian brew,,8
TCL ADS - Springserve,Chile,forest frenzy of boonie bears season 4,51360,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
TCL ADs (APAC),Argentina,evidencias del crimen: temporada 5,51360,,,,,,,serie,titulo,evidencias del crimen,5,
OTTera.tv,Colombia,animacars season 1,51040,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,1,
PML Digital,Argentina,shark academy stories season 1,49760,,,,,,,serie,titulo,shark academy stories,1,
OTTera.tv,Chile,domi kids (english) season 1,48960,,,,,,,serie,titulo,domi kids (english),1,
TCL ADs (APAC),Chile,koka tv nursery rhymes season 1,48640,,,,,,,serie,titulo,koka tv nursery rhymes,1,
PML Digital,Chile,eggroy season 1,48640,,,,,,,serie,titulo,eggroy,1,
METAX SOFTWARE PTE. LTD. (Exchange),Peru,andor: season 2 - official stealing the tie fighter clip,48160,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
iion Pty Ltd,Argentina,el zorro viejo temporada 6,48000,,,,,,,serie,titulo,el zorro viejo,6,
OTTera.tv,Colombia,bibi workshop season 1,47840,,,,,,,serie,titulo,bibi workshop,1,
iion Pty Ltd,Argentina,crea'tim season 1,47680,,,,,,,serie,titulo,crea'tim,1,
TCL ADs (APAC),Chile,thrillbillies,47520,tt1500999,tvSeries,Sport,B,,VOD,serie,imdb,thrillbillies,,
OTTera.tv,Chile,forest frenzy of boonie bears season 1,46720,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
TCL ADs (APAC),Mexico,andor: season 2 - official stealing the tie fighter clip,46080,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
OTTera.tv,Costa Rica,the children's kingdom season 1,45920,tt33293592,tvSeries,"Animation,Family,Music",C,,,serie,titulo,the children's kingdom,1,
LG Ads EMEA - SS,Colombia,el pirata - temporada 1,45840,tt0068442,movie,"Action,Drama",B,,,serie,titulo,el pirata,1,
iion Pty Ltd,Argentina,hey! pikmin season 1,45280,,,,,,,serie,titulo,hey! pikmin,1,
OTTera.tv,Panama,e1. a 'wild' mission,44800,,,,,,,serie,titulo,a 'wild' mission,,1
TCL ADs (APAC),Colombia,real stories with christ - season three,44640,,,,,,,serie,titulo,real stories with christ,,
TCL ADS - Springserve,Mexico,forest frenzy of boonie bears season 2,43360,,,,,,,serie,titulo,forest frenzy of boonie bears,2,
OTTera.tv,Ecuador,future chicken - music videos season 1,41760,,,,,,,serie,titulo,future chicken - music videos,1,
OTTera.tv,Argentina,ebb and flo season 1,40960,tt12767268,tvSeries,"Animation,Family",D,,,serie,titulo,ebb and flo,1,
iion Pty Ltd,Peru,chai chai season 1,38560,tt6443382,tvSeries,Animation,C,,,serie,titulo,chai chai,1,
OTTera.tv,Argentina,kong kong land-ep08-dracula,38400,tt21931976,tvSeries,Animation,C,,,serie,titulo,kong kong land,,8
TCL ADs (APAC),Ecuador,el caso de mi vida: temporada 4,38400,,,,,,,serie,titulo,el caso de mi vida,4,
TCL ADS - Springserve,Chile,ted the train season 1,38240,,,,,,,serie,titulo,ted the train,1,
TCL ADs (APAC),Argentina,find the hidden object: season 3,38000,,,,,,,serie,titulo,find the hidden object,3,
OTTera.tv,Argentina,minituns - en season 1,37920,,,,,,,serie,titulo,minituns - en,1,
OTTera.tv,Ecuador,e9. orbit,37120,tt11482086,short,"Biography,Short",B,,,serie,titulo,orbit,,9
Select Plus PTE LTD (CTV),Chile,mondoyan season 1,36960,,,,,,,serie,titulo,mondoyan,1,
OTTera.tv,Venezuela,e1: the treacherous hike,35680,,,,,,,serie,titulo,the treacherous hike,,1
OTTera.tv,Dominican Republic,forest frenzy of boonie bears season 1,35680,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
iion Pty Ltd,Peru,evidencias del crimen: temporada 3,35600,,,,,,,serie,titulo,evidencias del crimen,3,
OTTera.tv,Dominican Republic,sonic superstars season 1,35360,,,,,,,serie,titulo,sonic superstars,1,
OTTera.tv,Ecuador,forest frenzy of boonie bears season 1,35360,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
TCL ADS - Springserve,Argentina,jamilla alladin-ep01-once upon a time part 1,35040,,,,,,,serie,titulo,jamilla alladin,,1
TCL ADs (APAC),Chile,lucky fred season 1,34960,tt2164295,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,lucky fred,1,
TCL ADS - Springserve,Dominican Republic,e2. the inner worlds,34560,,,,,,,serie,titulo,the inner worlds,,2
OTTera.tv,Argentina,bonitos cubinhos - pbt season 1,34400,,,,,,,serie,titulo,bonitos cubinhos - pbt,1,
OTTera.tv,Ecuador,babybus canciones infantiles - temporada 1,34320,,,,,,,serie,titulo,babybus canciones infantiles,1,
Select Plus PTE LTD (CTV),El Salvador,saari season 1,34240,tt0080934,movie,"Action,Adventure,Drama",D,,,serie,titulo,saari,1,
OTTera.tv,Venezuela,e1. papua new guinea,34240,,,,,,,serie,titulo,papua new guinea,,1
iion Pty Ltd,Argentina,monster town season 1,34080,tt8561356,tvSeries,Animation,D,,,serie,titulo,monster town,1,
iion Pty Ltd,Chile,the story of bookworm gogo season 1,33760,tt32752622,tvSeries,Animation,C,,,serie,titulo,the story of bookworm gogo,1,
TCL ADS - Springserve,Argentina,future chicken - music videos season 2,33600,,,,,,,serie,titulo,future chicken - music videos,2,
OTTera.tv,Colombia,sonic frontiers season 1,33120,,,,,,,serie,titulo,sonic frontiers,1,
OTTera.tv,Ecuador,e6. the sun,32960,tt0439817,movie,"Drama,History",B,,,serie,titulo,the sun,,6
iion Pty Ltd,Peru,andor: season 2 - official 'win' teaser trailer,32480,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
OTTera.tv,Uruguay,bunny brothers season 1,32160,tt29687367,tvSeries,Animation,C,,,serie,titulo,bunny brothers,1,
TCL ADS - Springserve,Mexico,the supers season 1,31840,tt7493770,movie,"Action,Adventure,Comedy",B,,,serie,titulo,the supers,1,
OTTera.tv,Argentina,hey! pikmin season 1,31680,,,,,,,serie,titulo,hey! pikmin,1,
TCL ADs (APAC),Argentina,forest frenzy of boonie bears season 4,31360,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
Select Plus PTE LTD (CTV),Argentina,chai chai season 1,30720,tt6443382,tvSeries,Animation,C,,,serie,titulo,chai chai,1,
