Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
iion Pty Ltd,Mexico,american hidden story season 2,5098080,,,,,,,serie,titulo,american hidden story,2,
Select Plus PTE LTD (CTV),Chile,real stories with christ - season three,2032640,,,,,,,serie,titulo,real stories with christ,,
iion Pty Ltd,Colombia,forest frenzy of boonie bears season 4,1330880,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
iion Pty Ltd,Argentina,andor: season 2 - official 'win' teaser trailer,1150640,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
OTTera.tv,Venezuela,real stories with christ - season three,1002080,,,,,,,serie,titulo,real stories with christ,,
iion Pty Ltd,Mexico,dee dee- the apprentice sorceress season 1,978080,,,,,,,serie,titulo,dee dee- the apprentice sorceress,1,
TCL ADs (APAC),Mexico,forest frenzy of boonie bears season 3,870320,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
iion Pty Ltd,Chile,forest frenzy of boonie bears season 2,756880,,,,,,,serie,titulo,forest frenzy of boonie bears,2,
iion Pty Ltd,Mexico,ebb and flo season 1,718400,tt12767268,tvSeries,"Animation,Family",D,,,serie,titulo,ebb and flo,1,
OTTera.tv,Mexico,forest frenzy of boonie bears season 3,630720,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
TCL ADS - Springserve,Argentina,los cuentos de lupin (temporada 1),545840,tt13822590,tvMiniSeries,Animation,C,,,serie,titulo,los cuentos de lupin,1,
OTTera.tv,Mexico,plum the super witch season 1,541760,tt21980616,video,"Animation,Short",C,,,serie,titulo,plum the super witch,1,
OTTera.tv,Argentina,vitaminix season 1,478240,tt6469326,tvSeries,"Animation,Documentary,Family",C,,,serie,titulo,vitaminix,1,
iion Pty Ltd,Chile,animacars season 2,468480,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
iion Pty Ltd,Argentina,super abby season 1,436160,,,,,,,serie,titulo,super abby,1,
OTTera.tv,Chile,chicken stew season 1,420000,tt3356808,tvSeries,"Action,Animation,Comedy",A,,VOD,serie,titulo,chicken stew,1,
Select Plus PTE LTD (CTV),Costa Rica,real stories with christ - season three,363200,,,,,,,serie,titulo,real stories with christ,,
TCL ADs (APAC),Mexico,chai chai season 1,338560,tt6443382,tvSeries,Animation,C,,,serie,titulo,chai chai,1,
TCL ADS - Springserve,Mexico,pikmin 4 season 1,304800,,,,,,,serie,titulo,pikmin 4,1,
TCL ADS - Springserve,Mexico,shark academy nursery rhymes season 1,286960,,,,,,,serie,titulo,shark academy nursery rhymes,1,
TCL ADS - Springserve,Panama,real stories with christ - season three,275040,,,,,,,serie,titulo,real stories with christ,,
iion Pty Ltd,Mexico,guilt,265440,tt9644058,tvSeries,"Comedy,Crime,Drama",B,,VOD,serie,imdb,guilt,,
PML Digital,Chile,e8. the colombian brew,232960,,,,,,,serie,titulo,the colombian brew,,8
OTTera.tv,Argentina,animacars daily life season 1,189600,,,,,,,serie,titulo,animacars daily life,1,
iion Pty Ltd,Mexico,bibi workshop season 1,178400,,,,,,,serie,titulo,bibi workshop,1,
iion Pty Ltd,Mexico,tom's paint shop season 1,170560,,,,,,,serie,titulo,tom's paint shop,1,
Select Plus PTE LTD (CTV),Mexico,e9. lake superior,160160,,,,,,,serie,titulo,lake superior,,9
iion Pty Ltd,Colombia,the supers season 1,155680,tt7493770,movie,"Action,Adventure,Comedy",B,,,serie,titulo,the supers,1,
OTTera.tv,Chile,forest frenzy of boonie bears season 1,146080,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
TCL ADs (APAC),Mexico,andor: season 2 - official stealing the tie fighter clip,144240,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
iion Pty Ltd,Mexico,the legend of zelda: tears of the kingdom season 1,141120,,,,,,,serie,titulo,the legend of zelda: tears of the kingdom,1,
METAX SOFTWARE PTE. LTD. (Exchange),Ecuador,chicken stew season 1,137760,tt3356808,tvSeries,"Action,Animation,Comedy",A,,VOD,serie,titulo,chicken stew,1,
iion Pty Ltd,Mexico,eggroy season 1,136800,,,,,,,serie,titulo,eggroy,1,
OTTera.tv,Mexico,uma & devan namaste season 1,133120,tt11730496,tvSeries,Animation,C,,,serie,titulo,uma & devan namaste,1,
OTTera.tv,Mexico,speedracer- the next generation season 1,131360,,,,,,,serie,titulo,speedracer- the next generation,1,
METAX SOFTWARE PTE. LTD. (Exchange),Peru,real stories with christ - season three,130560,,,,,,,serie,titulo,real stories with christ,,
iion Pty Ltd,Argentina,digital lizards of doom: lava or licorice season 1,130240,,,,,,,serie,titulo,digital lizards of doom: lava or licorice,1,
iion Pty Ltd,Mexico,spy penguin season 1,129920,tt11328836,tvMiniSeries,Animation,C,,,serie,titulo,spy penguin,1,
TCL ADs (APAC),Mexico,lily's lovely song season 1,128960,,,,,,,serie,titulo,lily's lovely song,1,
PML Digital,Argentina,e5. getting frills and thrills in your rv,128800,,,,,,,serie,titulo,getting frills and thrills in your rv,,5
PML Digital,Argentina,e9. lake superior,125760,,,,,,,serie,titulo,lake superior,,9
iion Pty Ltd,Mexico,e1.%20the%20%27dutch%27%20caribbean,122400,,,,,,,serie,titulo,%20the%20%27dutch%27%20caribbean,,1
OTTera.tv,Ecuador,babybus canciones infantiles - temporada 10,118320,,,,,,,serie,titulo,babybus canciones infantiles,10,
OTTera.tv,Chile,pikmin 4 season 1,116160,,,,,,,serie,titulo,pikmin 4,1,
OTTera.tv,Chile,e5. the ice giants,111680,,,,,,,serie,titulo,the ice giants,,5
TCL ADS - Springserve,Argentina,count hidden objects: season 13,105840,,,,,,,serie,titulo,count hidden objects,13,
OTTera.tv,Costa Rica,forest frenzy of boonie bears season 3,105440,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
iion Pty Ltd,Mexico,tom's garage season 1,105120,tt0105617,movie,,C,,,serie,titulo,tom's garage,1,
TCL ADs (APAC),Chile,cat & keet  season 1,101520,tt6443326,tvSeries,Animation,C,,,serie,titulo,cat & keet,1,
TCL ADS - Springserve,Chile,andor: season 2 - official stealing the tie fighter clip,100640,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
OTTera.tv,Colombia,the sandman: season 2 - official date announcement teaser trailer,99360,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,,serie,titulo,the sandman,2,
Select Plus PTE LTD (CTV),Ecuador,andor: season 2 - official 'win' teaser trailer,97600,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
iion Pty Ltd,Chile,guilt,96800,tt9644058,tvSeries,"Comedy,Crime,Drama",B,,VOD,serie,imdb,guilt,,
OTTera.tv,Mexico,gunnie season,94560,,,,,,,serie,titulo,gunnie season,,
iion Pty Ltd,Mexico,dee dee- the apprentice sorceress season 1,93760,,,,,,,serie,titulo,dee dee- the apprentice sorceress,1,
iion Pty Ltd,Argentina,chai chai season 1,90160,tt6443382,tvSeries,Animation,C,,,serie,titulo,chai chai,1,
TCL ADs (APAC),Mexico,invent'tom season 1,89760,,,,,,,serie,titulo,invent'tom,1,
OTTera.tv,Argentina,sonic superstars season 1,88640,,,,,,,serie,titulo,sonic superstars,1,
iion Pty Ltd,Argentina,evidencias del crimen: temporada 5,88560,,,,,,,serie,titulo,evidencias del crimen,5,
OTTera.tv,Venezuela,yoyo season 1,87200,tt0059934,movie,"Comedy,Drama,Family",B,,,serie,titulo,yoyo,1,
TCL ADS - Springserve,Chile,forest frenzy of boonie bears season 1,86160,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
iion Pty Ltd,Mexico,the children's kingdom season 1,86080,tt33293592,tvSeries,"Animation,Family,Music",C,,,serie,titulo,the children's kingdom,1,
OTTera.tv,Mexico,the supers season 1,86080,tt7493770,movie,"Action,Adventure,Comedy",B,,,serie,titulo,the supers,1,
TCL ADS - Springserve,Argentina,eggroy season 1,85920,,,,,,,serie,titulo,eggroy,1,
iion Pty Ltd,Peru,eggroy season 1,85760,,,,,,,serie,titulo,eggroy,1,
TCL ADS - Springserve,Mexico,e9. lake superior,85600,,,,,,,serie,titulo,lake superior,,9
TCL ADs (APAC),Mexico,e1: the treacherous hike,85280,,,,,,,serie,titulo,the treacherous hike,,1
iion Pty Ltd,Argentina,guilt,84000,tt9644058,tvSeries,"Comedy,Crime,Drama",B,,VOD,serie,imdb,guilt,,
OTTera.tv,Ecuador,overwatch 2 - official season 16: stadium trailer,83760,,,,,,,serie,titulo,overwatch 2 - official,16,
TCL ADs (APAC),Mexico,hey! pikmin season 1,80960,,,,,,,serie,titulo,hey! pikmin,1,
Select Plus PTE LTD (CTV),Colombia,car patrol season 1,79360,,,,,,,serie,titulo,car patrol,1,
OTTera.tv,Uruguay,plum the super witch season 1,79200,tt21980616,video,"Animation,Short",C,,,serie,titulo,plum the super witch,1,
