Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Roku - oRTB,Mexico,Not Applicable,Entertainment,"[IAB1-7, IAB17]",Television | Sports,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,258150080,,,,2,2,ninguna,declarado
Roku - oRTB,Mexico,roku,Drama,"[IAB1-7, IAB11, IAB12]","Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,87741600,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],2,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,manana es para siempre,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0039041,movie,"Drama,Romance,War",B,coincide,,70276640,"[333, 326, 325, 331]",Movies > Drama Movies | Movies > Romance Movies | Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Argentina,el peso del amor,Drama,[IAB1-7],Television,externa,coincide,,tt5189944,tvSeries,"Comedy,Drama,Romance",A,coincide,,60499920,"[646, 647]",Television > Comedy TV | Television > Drama TV,[IAB1-7],2,3,externa,imdb
iion Pty Ltd,Mexico,agenda: payback: trailer,Action,[IAB1-5],Movies,externa,coincide,,tt4788744,movie,Thriller,A,no_coincide,,36716320,[331],Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Peru,los archivos del fbi temporada 2,Documentary,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,30630960,[648],Television > Factual TV,[IAB1-7],1,3,interna,titulo
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,tres veces ana,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt5378734,tvSeries,"Drama,Romance",B,coincide,,22432320,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
iion Pty Ltd,Argentina,spencer's big 30,Reality,[IAB1-22],Arts & Entertainment (tier 2 inexistente),externa,compatible,generico,tt8287836,tvSeries,Reality-TV,A,coincide,,20167360,[651],Television > Reality TV,[IAB1-7],1,3,externa,imdb
TCL ADS - Springserve,Mexico,hatchback: trailer,Romance,[IAB1-5],Movies,externa,coincide,,tt5982922,movie,Comedy,B,no_coincide,,16240960,[330],Movies > Comedy Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Peru,shaman's quest,Not Applicable,,,,,,,,,,no_comparable,,12997920,,,[IAB1],0,0,ninguna,
"Coocaa, a SKYWORTH company",Argentina,2025 heritage invitational,Auto Racing,[IAB17-1],Auto Racing,interna,coincide,,,,,,no_comparable,,11719520,,,,2,2,interna,contentSeries
Roku - oRTB,Mexico,Not Applicable,Soap-Opera,[IAB1-7],Television,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,9981520,,,,2,2,ninguna,declarado
Vidaa  APAC Hisense Headquarter,Mexico,rubi,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt2418558,movie,"Adventure,Drama,Family",B,coincide,vertical,7962480,"[325, 333, 334, 331, 335, 326, 327, 336]",Movies > Action and Adventure Movies | Movies > Drama Movies | Movies > Family and Children Movies | Movies > Crime and Mystery Movies | Movies > Fantasy Movies | Movies > Romance Movies | Movies > Science Fiction Movies | Movies > Horror Movies,[IAB1-5],1,3,externa,imdb
OTTera.tv,Argentina,13 fanboy,Horror,[IAB1-5],Movies,externa,coincide,,tt9077876,movie,Horror,A,coincide,,7363200,[336],Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
PML Digital,Argentina,mark of the witch,Horror,[IAB1-5],Movies,externa,coincide,,tt3233972,movie,"Fantasy,Horror,Sci-Fi",B,coincide,,7028560,"[335, 336, 327]",Movies > Fantasy Movies | Movies > Horror Movies | Movies > Science Fiction Movies,[IAB1-5],2,3,externa,imdb
Vidaa  APAC Hisense Headquarter,Venezuela,Not Applicable,Lifestyle,[IAB7],Health & Fitness,interna,compatible,generico,,,,,no_comparable,,6797760,,,,1,1,interna,
"Coocaa, a SKYWORTH company",Argentina,after hours,News,[IAB12],News,interna,coincide,,tt0088680,movie,"Comedy,Crime,Drama",D,no_comparable,,6548640,,,,1,1,interna,contentSeries
OTTera.tv,Mexico,children of the grave,Horror,[IAB1-5],Movies,externa,compatible,generico,tt0926758,tvMovie,"Documentary,Horror,Thriller",A,coincide,,6048640,"[332, 336, 331]",Movies > Documentary Movies | Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,declarado
Televisa Univision via SpringServe,Mexico,la familia p luche,Comedy,[IAB1-7],Television,externa,coincide,,tt1244672,tvSeries,Comedy,A,coincide,,6015840,[646],Television > Comedy TV,[IAB1-7],2,3,externa,imdb
iion Pty Ltd,Colombia,monster_trailer,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,5985600,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Mexico,black hole,Drama,[IAB1-5],Movies,externa,compatible,generico,tt2580904,short,"Drama,Romance,Sci-Fi",B,coincide,,5313040,"[333, 326, 327]",Movies > Drama Movies | Movies > Romance Movies | Movies > Science Fiction Movies,[IAB1-5],2,3,externa,declarado
Zeasn Europe B.V. (Springserve),Nicaragua,a peaceful afternoon in the forest,Outdoors,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,5119200,,,,1,1,ninguna,
TCL ADs (APAC),Mexico,penance%20lane,Drama,[IAB1-5],Movies,externa,coincide,,tt1964995,movie,Horror,A,no_coincide,,4731040,[336],Movies > Horror Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Mexico,blink and friends,Adventure,[IAB1],Arts & Entertainment,interna,compatible,generico,tt33055563,tvSeries,Animation,C,no_comparable,,4615360,[325],Movies > Action and Adventure Movies,[IAB1],1,2,interna,
Select Plus PTE LTD (CTV),Argentina,beast no more: trailer,Drama,[IAB1-5],Movies,externa,coincide,,tt4634402,movie,"Horror,Thriller",A,no_coincide,,4598480,"[336, 331]",Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,por ella soy eva,Comedy,[IAB12],News,interna,contradice,vertical:noticias,tt2206767,tvSeries,Drama,C,no_comparable,,4313360,"[330, 646]",Movies > Comedy Movies | Television > Comedy TV,[IAB1],1,2,interna,
iion Pty Ltd,Mexico,a reasonable request,Drama,[IAB1-5],Movies,externa,compatible,generico,tt4702552,short,"Comedy,Short",A,no_coincide,,4216560,[330],Movies > Comedy Movies,[IAB1-5],2,3,externa,declarado
TCL ADS - Springserve,Mexico,Not Applicable,Gaming,[IAB9-30],Video & Computer Games,interna,coincide,,,,,,no_comparable,,4079840,,,,1,1,interna,
