Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
iion Pty Ltd,Colombia,narbhakshanam_trailer,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,714240,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
TCL ADs (APAC),Mexico,bnb hell,Horror,[IAB1-5],Movies,externa,coincide,,tt5639410,movie,"Horror,Thriller",A,coincide,,713760,"[336, 331]",Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
iion Pty Ltd,Colombia,star overdrive - official accolades trailer,Not Applicable,,,,,,,,,,no_comparable,,712160,,,[IAB1],0,0,ninguna,
TCL ADS - Springserve,Mexico,life & me,Drama,[IAB1-5],Movies,externa,coincide,,tt29594199,movie,"Comedy,Drama",A,coincide,,707520,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Chile,el descenso,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt0435625,movie,"Adventure,Horror,Thriller",B,no_coincide,,707200,"[325, 336, 331]",Movies > Action and Adventure Movies | Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Colombia,9 kings - official release date trailer,Not Applicable,,,,,,,,,,no_comparable,,707040,,,[IAB1],0,0,ninguna,
"VGI CTV, Inc APAC",Mexico,lo que la vida me robo,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt3223004,tvSeries,"Drama,Romance",A,coincide,,701440,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
OTTera.tv,Chile,detective dotson - official launch trailer,Not Applicable,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,699360,,,,1,1,ninguna,
Select Plus PTE LTD (CTV),Mexico,life & me,Drama,[IAB1-5],Movies,externa,coincide,,tt29594199,movie,"Comedy,Drama",A,coincide,,699200,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Costa Rica,penance lane: trailer,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt1964995,movie,Horror,A,no_coincide,,697920,[336],Movies > Horror Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Argentina,basement_trailer,Horror,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,696240,[336],Movies > Horror Movies,[IAB1],1,2,interna,
PML Digital,Argentina,the assassinator_trailer,Action,[sports],sports,interna,contradice,vertical:deportes,,,,,no_comparable,,695200,[325],Movies > Action and Adventure Movies,[IAB1],1,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,cinemás,Movies,"[IAB1, IAB1-5]",Arts & Entertainment | Movies,interna,coincide,,tt1503022,tvSeries,Talk-Show,D,no_comparable,,693120,,,,2,2,ninguna,declarado
TCL ADS - Springserve,Mexico,ivan's game,Documentary,[IAB1-5],Movies,externa,coincide,,tt11202680,movie,"Biography,Documentary,Sport",A,coincide,,677280,"[332, 333]",Movies > Documentary Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
Select Plus PTE LTD (CTV),Chile,nail in the coffin: the fall & rise of vampiro,Documentary,[IAB1-5],Movies,externa,coincide,,tt10489756,movie,"Biography,Documentary,Sport",A,coincide,,672480,"[332, 333]",Movies > Documentary Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADS - Springserve,Mexico,jaquemate,Thriller,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,671680,[331],Movies > Crime and Mystery Movies,[IAB1],1,2,interna,
iion Pty Ltd,Argentina,the night never sleeps: trailer,Action,[IAB1-5],Movies,externa,coincide,,tt2137381,movie,"Action,Drama",A,coincide,,666560,"[325, 333]",Movies > Action and Adventure Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADS - Springserve,Mexico,youn'g,Not Applicable,[IAB1-5],Movies,externa,coincide,,tt10442852,movie,"Action,Comedy,Crime",A,sin_genero_declarado,,666400,"[325, 330, 331]",Movies > Action and Adventure Movies | Movies > Comedy Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
FreeTV via Springserve,Mexico,dios no lo quiera,Drama,[IAB1],Arts & Entertainment,externa,compatible,generico,tt0186964,movie,Drama,A,coincide,,662880,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
Select Plus PTE LTD (CTV),Mexico,life is just a ride,Documentary,[IAB1-5],Movies,externa,coincide,,tt13270220,movie,Documentary,A,coincide,,656480,[332],Movies > Documentary Movies,[IAB1-5],2,3,externa,imdb
Vidaa,Mexico,Not Applicable,Education,[IAB12],News,interna,compatible,generico,,,,,no_comparable,,645280,,,,1,1,interna,
iion Pty Ltd,Colombia,bella's story_trailer,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,614720,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
iion Pty Ltd,Mexico,solitaireclassic,Not Applicable,[IAB9-30],Video & Computer Games,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,613600,,,,1,1,ninguna,
Future Today - Nimbus - CTV,Mexico,Not Applicable,Entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,604800,,,,1,1,ninguna,
OTTera.tv,Mexico,thursday fields,Documentary,[IAB1],Arts & Entertainment,externa,compatible,generico,tt9859682,short,"Documentary,Short",A,coincide,,599680,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],1,2,externa,
Vidaa  APAC Hisense Headquarter,Argentina,Not Applicable,Entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,598240,,,,1,1,ninguna,
OTTera.tv,Colombia,ichiban ushiro no daimaou,Anime,[IAB1-7],Television,externa,coincide,,tt1636694,tvSeries,"Action,Animation,Comedy",A,coincide,,594240,"[641, 646]",Television > Animation TV | Television > Comedy TV,[IAB1-7],2,3,externa,imdb
OTTera.tv,Colombia,webcam fantasma,Horror,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,592160,[336],Movies > Horror Movies,[IAB1],1,2,interna,
iion Pty Ltd,Mexico,forgiveness,Drama,[IAB1-5],Movies,externa,coincide,,tt1683051,movie,"Crime,Drama,Mystery",B,coincide,,590240,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
